MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
5:Del:R:5	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
2:Ins:R:0	2.57E-04	2.23E-04	3.62E-04	2.05E-04	5.36E-04	2.50E-04	2.30E-04	4.92E-04	4.23E-04	2.63E-04	2.15E-04
2:Ins:R:1	1.49E-04	1.33E-04	1.75E-04	1.20E-04	2.92E-04	1.34E-04	1.44E-04	2.50E-04	2.64E-04	1.61E-04	1.51E-04
2:Ins:R:2	9.23E-05	1.24E-04	1.39E-04	1.15E-04	1.75E-04	9.00E-05	1.12E-04	1.63E-04	1.44E-04	1.26E-04	1.26E-04
2:Ins:R:3	3.82E-05	3.54E-05	5.92E-05	3.48E-05	9.18E-05	3.50E-05	4.97E-05	7.12E-05	9.30E-05	4.34E-05	4.44E-05
2:Ins:R:4	5.02E-05	5.72E-05	1.07E-04	3.91E-05	1.25E-04	1.03E-04	6.97E-05	9.60E-05	1.13E-04	9.27E-05	5.86E-05
2:Ins:R:5	1.08E-03	8.70E-04	1.43E-03	8.54E-04	1.97E-03	7.11E-04	1.11E-03	1.88E-03	1.63E-03	1.38E-03	1.03E-03
3:Ins:R:0	1.18E-04	7.91E-05	1.17E-04	8.05E-05	1.93E-04	7.11E-05	1.10E-04	1.74E-04	1.09E-04	9.24E-05	1.10E-04
3:Ins:R:1	1.13E-04	1.14E-04	1.66E-04	1.03E-04	2.21E-04	1.10E-04	1.25E-04	2.29E-04	2.07E-04	1.33E-04	1.38E-04
3:Ins:R:2	2.82E-05	2.03E-05	2.68E-05	1.35E-05	4.91E-05	1.90E-05	2.87E-05	4.69E-05	4.62E-05	2.75E-05	2.67E-05
3:Ins:R:3	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
3:Ins:R:4	7.34E-06	5.21E-06	5.73E-06	3.14E-06	4.36E-06	5.84E-06	6.27E-06	1.12E-05	8.11E-06	5.74E-06	5.63E-06
3:Ins:R:5	4.31E-05	2.95E-05	3.86E-05	2.94E-05	7.05E-05	2.96E-05	3.49E-05	6.73E-05	6.52E-05	3.34E-05	3.43E-05
4:Ins:R:0	8.86E-05	7.45E-05	1.22E-04	8.44E-05	2.25E-04	8.59E-05	9.16E-05	1.62E-04	1.58E-04	8.35E-05	9.74E-05
4:Ins:R:1	1.78E-04	1.76E-04	1.80E-04	1.47E-04	2.93E-04	1.18E-04	1.88E-04	2.46E-04	2.73E-04	1.72E-04	1.95E-04
4:Ins:R:2	1.13E-05	1.46E-05	1.84E-05	1.48E-05	2.83E-05	1.25E-05	1.43E-05	2.60E-05	2.11E-05	1.36E-05	1.34E-05
4:Ins:R:3	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
4:Ins:R:4	1.67E-05	1.06E-05	2.29E-05	1.04E-05	3.48E-05	1.20E-05	1.75E-05	4.12E-05	3.51E-05	1.73E-05	1.34E-05
4:Ins:R:5	2.27E-05	2.59E-05	3.16E-05	2.92E-05	6.09E-05	1.86E-05	3.18E-05	5.60E-05	6.59E-05	3.48E-05	2.90E-05
5:Ins:R:0	1.51E-04	1.29E-04	1.94E-04	1.28E-04	3.26E-04	1.17E-04	1.71E-04	2.52E-04	3.30E-04	1.54E-04	1.52E-04
5:Ins:R:1	2.34E-04	2.20E-04	2.86E-04	2.08E-04	5.39E-04	2.25E-04	2.47E-04	5.78E-04	5.26E-04	3.26E-04	2.14E-04
5:Ins:R:2	1.31E-05	9.67E-06	1.32E-05	8.15E-06	2.10E-05	1.37E-05	8.17E-06	2.61E-05	2.04E-05	1.51E-05	1.15E-05
5:Ins:R:3	7.88E-06	6.92E-06	6.98E-06	4.46E-06	1.40E-05	6.82E-06	5.60E-06	2.01E-05	1.07E-05	7.39E-06	7.83E-06
5:Ins:R:4	9.56E-06	4.88E-06	1.19E-05	8.75E-06	2.17E-05	7.70E-06	1.09E-05	1.55E-05	3.67E-05	1.26E-05	8.91E-06
5:Ins:R:5	5.05E-06	5.78E-06	9.30E-06	4.67E-06	1.55E-05	4.66E-06	5.46E-06	1.66E-05	9.30E-06	7.98E-06	6.71E-06
2:Del:M:1	2.36E-04	3.00E-04	4.34E-04	2.24E-04	5.92E-04	2.44E-04	2.38E-04	5.31E-04	5.18E-04	2.74E-04	2.39E-04
3:Del:M:1	4.51E-04	3.54E-04	4.78E-04	2.86E-04	7.56E-04	4.77E-04	3.79E-04	7.27E-04	5.50E-04	4.85E-04	4.21E-04
3:Del:M:2	2.35E-04	1.71E-04	2.21E-04	1.36E-04	2.77E-04	2.25E-04	1.58E-04	3.37E-04	2.16E-04	2.19E-04	2.03E-04
4:Del:M:1	2.11E-04	1.80E-04	2.09E-04	1.28E-04	2.53E-04	1.12E-04	1.54E-04	3.17E-04	2.41E-04	1.96E-04	1.50E-04
4:Del:M:2	1.68E-04	1.12E-04	1.38E-04	1.03E-04	2.34E-04	1.19E-04	1.28E-04	2.34E-04	1.85E-04	1.56E-04	1.11E-04
4:Del:M:3	4.57E-05	3.82E-05	6.81E-05	2.75E-05	8.05E-05	3.03E-05	3.38E-05	8.39E-05	7.03E-05	7.22E-05	4.52E-05
5:Del:M:1	4.01E-04	3.31E-04	4.84E-04	3.36E-04	6.31E-04	3.07E-04	3.33E-04	6.10E-04	5.86E-04	3.54E-04	3.85E-04
5:Del:M:2	1.93E-04	1.61E-04	2.02E-04	1.52E-04	3.70E-04	1.41E-04	1.75E-04	3.19E-04	3.12E-04	1.84E-04	1.96E-04
5:Del:M:3	8.28E-05	7.25E-05	1.02E-04	7.77E-05	1.50E-04	5.91E-05	7.44E-05	1.20E-04	1.24E-04	8.91E-05	7.85E-05
5:Del:M:4	2.39E-05	1.86E-05	2.58E-05	2.60E-05	5.10E-05	1.71E-05	2.78E-05	3.94E-05	4.07E-05	2.80E-05	2.67E-05
5:Del:M:5	2.86E-05	2.24E-05	3.12E-05	2.80E-05	4.19E-05	2.30E-05	1.74E-05	4.74E-05	3.89E-05	3.28E-05	2.39E-05
