MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	6.535226364622407e-08	7.789588245538186e-08	2.5005120222315317e-07	3.8055132025316486e-08	3.362163547703466e-08	8.69760692380243e-08	1.6130031396217425e-08	1.6515794712618514e-07	1.483414099507217e-07	1.2851926525947517e-07	9.110350800679612e-08
1:Del:C:1	0.008876535604140035	0.02805350458481394	0.007744951305257494	0.019222819130925686	0.019836569761930593	0.12437784304169006	0.018039774229265844	0.029955744859100065	0.0339111973435122	0.02248203371153312	0.020974362673240876
1:Del:C:2	0.00260581710856536	0.006567286866477293	0.0025488774197610434	0.004846504853658235	0.005512951395406995	0.022343344685672773	0.006241873698456274	0.015205656563435735	0.017524755480978163	0.007375211325862473	0.005710978372328956
1:Del:C:3	0.0013938171890784108	0.0025538967020257352	0.0015596955101517258	0.0018427666802780607	0.002933778419295838	0.012962082033728931	0.0022986785296362595	0.004718572084067043	0.008544582021817255	0.0032422388015699685	0.0027610766349566614
1:Del:C:4	0.000724658196974719	0.0019159300256679655	0.0006803743192981197	0.001482830234976222	0.0016801607303113108	0.0064538761147699955	0.0016763585715652703	0.005128547036178607	0.004427174548682338	0.0019680583364034125	0.0015377817312821494
1:Del:C:5	0.001466083289815952	0.0025455637261457146	0.0020008370544990065	0.0018565497652237419	0.0020264628152622927	0.0036701670056437426	0.0020872492075027487	0.004062111787618525	0.0034042582407512872	0.002876813459640014	0.002254066616357523
1:Del:T:0	6.535226364622407e-08	7.789588245538186e-08	2.5005120222315317e-07	3.8055132025316486e-08	3.362163547703466e-08	8.69760692380243e-08	1.6130031396217425e-08	1.6515794712618514e-07	1.483414099507217e-07	1.2851926525947517e-07	9.110350800679612e-08
1:Del:T:1	0.006489573506021804	0.011764738641798219	0.004841871083784983	0.009043598114954194	0.013406623288442046	0.09274558615786957	0.011574588278463542	0.027418935459567594	0.04269288423160618	0.013775387091394834	0.012122064994353435
1:Del:T:2	0.00305286187392073	0.008339802541578597	0.0049383275686848156	0.0059337854216698835	0.007126608157277855	0.03727716416549163	0.007834539616697698	0.01902186719666457	0.02024255794000778	0.009382811060418089	0.007350945926848901
1:Del:T:3	0.003327550974198303	0.007705165967117639	0.0018790832646547657	0.005303747306713794	0.006416699244833285	0.03501629631289081	0.007130243296968109	0.014162309156154526	0.016577164013683202	0.007506022334743348	0.005807162231332926
1:Del:T:4	0.0029067625010063985	0.00511238767722881	0.003505341809848865	0.0039433221007048585	0.005213319630795842	0.02596394482155206	0.0053726273335782185	0.018447208884218226	0.022597689093119547	0.0070325857337901225	0.005451430934331274
1:Del:T:5	0.1488381488504179	0.19317621643749472	0.33288067184680137	0.13753619324741534	0.08981481977492464	0.1551677301480545	0.05710886114232159	0.28361894490247136	0.09748934085124572	0.2104763444022692	0.16698035665920014
1:Ins:C:0	0.0018736005418720707	0.0028741268891364583	0.0019908545027410686	0.00219253311960264	0.003246427759845572	0.010835499460251781	0.002747328001254976	0.007272680705077965	0.009273276575674873	0.004652035027182091	0.004168211447973372
1:Ins:C:1	0.0008499327576229767	0.002181176487261122	0.0009648907956557012	0.002049297239725631	0.0020904256141279906	0.005553287092413331	0.0025670173465217375	0.0023010784927426278	0.003043279145852555	0.0019865758937111563	0.0020810407256583144
1:Ins:C:2	0.0008542773049665495	0.001251184636977147	0.0005325577803146093	0.0012691006946594116	0.001862177395720337	0.002404896922044367	0.002161225404321972	0.002649106782585487	0.004177905634217509	0.0018579426902800083	0.0016905214427172595
1:Ins:C:3	0.0006677093613656009	0.0006830415077358316	0.0004891514113518651	0.0009754742430479473	0.0016549871649530472	0.0010577798545825044	0.002195725955806419	0.002250617839354953	0.003002682988413814	0.0009847950479881377	0.0009612620620006415
1:Ins:C:4	0.0007315517418519333	0.0011907388981421808	0.0005120472758317946	0.0009345884138795916	0.0013216437341199033	0.00457121758662628	0.0016310778317524819	0.0039033632693889647	0.004564471899014168	0.0018177696890681304	0.001373841386431813
1:Ins:C:5	0.004391018535277717	0.008183115886582052	0.0028470071663059923	0.008681601079605927	0.009810742540585917	0.017337076484300513	0.012684940014641101	0.021937188576028527	0.023914529752124335	0.009558782875835135	0.008132104377377672
1:Ins:T:0	0.005015195283545671	0.0055027807803145505	0.002143141349018508	0.005865863979230018	0.008755207759583581	0.015352834598588131	0.008862910969070619	0.009299734894054485	0.015966916609338192	0.006666291632558784	0.006199518528047875
1:Ins:T:1	0.003796563411126015	0.008484437223459587	0.002343717916612714	0.008072180038890374	0.00984098405926486	0.0247775991480094	0.012412416680356591	0.010240475606335309	0.013192269060893743	0.007923407061162208	0.007986172093383646
1:Ins:T:2	0.0025978548076808837	0.004326271310809116	0.003655366584102846	0.003810747792170254	0.005475047882500182	0.008842811374987387	0.005582837775200503	0.00744663947943108	0.010966429831339618	0.005577375256028877	0.005023176787511913
1:Ins:T:3	0.0020404933503363953	0.0027199791203857083	0.002433618451942342	0.0028005961678415937	0.004458140708859126	0.013162343886036133	0.00446859646685342	0.007859324978032784	0.015327153477623276	0.00445746928155453	0.004027651068202263
1:Ins:T:4	0.0021206502005466	0.003579443030308315	0.001834137049906948	0.0037186116947173363	0.004382578919499066	0.01241981497964638	0.0050753649162432616	0.007401076134352486	0.008935965261372324	0.004000465512427892	0.0038023644492232536
1:Ins:T:5	0.5934305063596608	0.5057041481160033	0.16097642819611824	0.6223561593414363	0.6046463378927772	0.06273530431982798	0.6681576841709292	0.07200709616030146	0.06447249353812469	0.3471380222037826	0.451439099250337
2:Del:R:0	0.12845252416083452	0.07854388759445201	0.3813517070575845	0.05129990028808225	0.0759226545554916	0.061353251073727647	0.031415772407135945	0.17676811491379466	0.2704142930057478	0.18894214253327352	0.15367956310516112
2:Del:R:1	0.0005935364585821906	0.0006333260393752141	0.000559028253840913	0.0006088215158874282	0.0009971628512145815	0.0028519434428852636	0.0011793154872776004	0.0018603330221867273	0.0035066785247443956	0.0011190339155750868	0.0009383403823673018
2:Del:R:2	0.00013940007727810533	0.00038402212634842616	0.000408166523693426	0.000206601232087972	0.00029721144830613486	0.002524812722690645	0.00022284430315633894	0.0006444570049960657	0.000902339729266078	0.0004025868897429853	0.0003679343701213318
2:Del:R:3	4.62521544247065e-05	5.2479270302710516e-05	0.0004414173060804142	3.120799119048158e-05	6.695965061268427e-05	7.628235166085386e-05	3.414207060892573e-05	0.00013815013879684175	0.00025412747160800204	0.00014153927333795035	0.00010208862477478775
2:Del:R:4	2.354928251175445e-05	3.108829026837918e-05	1.9970726920474962e-05	2.620028897014752e-05	4.339690016058549e-05	9.696950595767106e-05	3.411118448538327e-05	7.87468768037179e-05	0.0001682545788640899	4.317249900321335e-05	3.7481787536992375e-05
2:Del:R:5	0.0006133218320316692	0.000642665507958085	0.00040512446425188117	0.0005167490547694732	0.0006247090624763947	0.0004231230162462659	0.0005881243853298181	0.0014651975126818786	0.0011830658677711799	0.0007012176060148072	0.0006747716491829692
3:Del:R:0	0.005261052202474298	0.00818964592460504	0.010405433025434348	0.005719957467898308	0.006457626888937889	0.011836716771302411	0.006088252832771647	0.018482573433130586	0.016755709695269728	0.010037916814420645	0.008445022093775068
3:Del:R:1	0.0005279083259341844	0.0009786334810435791	0.001052185809454805	0.0008900249971889331	0.0009449426454891218	0.0012871258043323107	0.001121942391363553	0.002383825100780953	0.0019598304093761923	0.000976813834827643	0.0010235936531814832
3:Del:R:2	7.145621969400928e-05	0.00021778718500098572	7.2951834266956e-05	0.00019250613062727224	0.00023090935634255543	0.0005371429424889966	0.00020373854916518367	0.00046929643742889065	0.000511116038672745	0.0002002193895113539	0.0002537172809025546
3:Del:R:3	6.535226364622407e-08	7.789588245538186e-08	2.5005120222315317e-07	3.8055132025316486e-08	3.362163547703466e-08	8.69760692380243e-08	1.6130031396217425e-08	1.6515794712618514e-07	1.483414099507217e-07	1.2851926525947517e-07	9.110350800679612e-08
3:Del:R:4	2.6241555154737625e-05	3.938207007200599e-05	1.608441272343098e-05	4.04876813180402e-05	4.520043492671679e-05	6.090758892065205e-05	3.8238733550579385e-05	0.0001303625938892366	8.319342695471114e-05	4.150589004824939e-05	5.475482625620918e-05
3:Del:R:5	6.535226364622407e-08	7.789588245538186e-08	2.5005120222315317e-07	3.8055132025316486e-08	3.362163547703466e-08	8.69760692380243e-08	1.6130031396217425e-08	1.6515794712618514e-07	1.483414099507217e-07	1.2851926525947517e-07	9.110350800679612e-08
