Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
AC_WGS_46	2.29E-01	1.57E-01	9.19E-02	0.00E+00	7.51E-02	2.59E-01	1.53E-01	5.51E-02	3.95E-02	2.23E-01	2.11E-01	7.37E-02
AC_WGS_49	9.29E-01	3.61E+00	1.05E+00	2.12E+00	6.95E-01	2.29E+00	2.97E+00	1.05E+00	2.65E+00	3.70E+00	1.99E+00	4.61E-01
AC_WGS_50	3.78E+00	6.42E+00	9.86E+00	8.48E+00	2.76E+00	6.39E+00	1.08E+01	6.82E+00	1.12E+01	1.14E+01	9.20E+00	1.63E+00
AC_WGS_51	1.45E+00	2.72E+00	1.66E+00	1.41E+00	1.30E+00	1.57E+00	2.90E+00	1.24E+00	1.93E+00	2.98E+00	1.58E+00	4.00E-01
AC_WGS_52	1.34E+00	4.71E+00	1.70E+00	3.33E+00	1.75E+00	3.79E+00	3.64E+00	1.80E+00	4.53E+00	4.15E+00	3.06E+00	6.65E-01
AC_WGS_53	6.78E-01	6.22E-01	3.66E-01	4.04E-01	9.12E-01	8.36E-01	1.25E+00	5.95E-01	6.95E-01	1.25E+00	1.02E+00	2.21E-01
AC_WGS_11	1.43E+00	3.96E+00	1.40E+00	2.86E+00	1.56E+00	2.24E+00	4.64E+00	1.53E+00	2.53E+00	3.90E+00	2.80E+00	5.37E-01
AC_WGS_37	8.92E-02	1.45E+00	3.18E-01	4.72E-01	8.48E-01	6.31E-01	2.01E+00	5.93E-01	5.79E-01	1.41E+00	1.74E+00	9.02E-02
RC596TH1	1.45E+00	2.67E+00	5.33E-01	3.36E+00	1.91E+00	4.57E-01	2.71E+00	7.34E-01	7.92E-01	1.58E+00	2.42E+00	6.00E-01
RC597TH1	3.88E-01	6.97E-01	2.48E-01	1.19E-01	1.69E+00	4.22E-01	5.29E+00	6.26E-01	1.62E-01	2.71E+00	3.52E+00	1.56E-01
RC598TH1	7.45E-01	1.75E+00	2.40E-01	2.75E-01	9.83E-01	8.60E-01	2.66E+00	2.77E-01	1.00E+00	1.84E+00	2.07E+00	2.39E-01
RC599TH1	2.07E+00	4.31E+00	2.79E+00	2.04E+00	1.37E+00	4.52E+00	2.30E+00	1.73E+00	3.43E+00	5.57E+00	4.54E+00	5.06E-01
RC602TH1	2.32E+00	3.69E+00	1.95E-01	4.40E-01	2.08E+00	7.34E-01	3.40E+00	1.26E+00	7.99E-01	3.35E+00	1.77E+00	3.47E-01
RC603TH1	3.91E+01	5.62E+00	8.20E+00	1.19E+01	8.27E+01	2.63E+01	1.39E+02	7.52E+00	2.08E+01	2.85E+01	5.92E+01	4.42E+00
