Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	1163.984	59.914	237.33	51.951	0.452
2	1145.932	58.861	235.109	51.636	0.445
3	1158.153	59.214	237.464	51.576	0.456
4	1152.697	58.686	236.345	51.482	0.448
5	1147.477	59.297	235.355	51.229	0.464
6	1143.382	59.279	233.907	51.202	0.456
7	1160.233	59.406	236.77	51.507	0.46
8	1154.779	59.585	237.691	51.631	0.455
9	1149.877	58.963	234.425	51.443	0.463
10	1147.529	58.95	234.59	51.625	0.454
11	1158.359	59.439	235.196	51.541	0.457
12	1155.508	59.13	237.011	51.117	0.457
13	1137.539	58.586	235.577	51.628	0.462
14	1154.771	59.146	235.002	51.349	0.461
15	1154.269	59.461	235.801	51.307	0.452
16	1162.563	59.574	239.858	51.929	0.464
17	1145.915	59.322	233.688	51.238	0.456
18	1145.589	58.801	234.533	51.368	0.452
19	1160.238	59.539	236.22	51.259	0.459
20	1152.778	58.886	235.225	51.611	0.457
21	1161.251	59.339	236.349	51.813	0.457
22	1140.983	59.554	233.034	51.095	0.467
23	1153.219	59.257	235.257	51.736	0.467
24	1157.537	59.113	237.029	51.337	0.462
25	1155.043	59.671	235.059	51.792	0.459
26	1151.977	59.517	235.898	51.713	0.456
27	1146.346	58.417	236.922	51.472	0.445
28	1152.799	59.039	236.328	51.16	0.46
29	1144.713	59.404	233.222	51.424	0.466
30	1148.501	58.896	234.578	51.234	0.445
31	1148.963	58.955	235.041	51.601	0.443
32	1149.7	58.997	236.003	51.434	0.446
33	1145.221	58.818	236.195	51.196	0.447
34	1153.196	58.498	235.815	51.129	0.443
35	1151.171	58.337	233.714	50.959	0.439
36	1142.245	58.053	234.398	51.365	0.436
37	1138.067	58.593	233.026	51.304	0.442
38	1159.173	58.919	240.05	51.711	0.452
39	1148.604	59.288	235.978	51.828	0.471
40	1148.847	59.262	233.569	51.744	0.478
41	1163.925	59.014	239.72	52.073	0.44
42	1158.292	58.932	238.212	51.074	0.464
43	1139.858	59.476	234.405	51.198	0.473
44	1154.746	58.986	235.528	51.448	0.44
45	1146.628	58.614	236.767	50.817	0.445
46	1144.375	58.897	234.023	51.376	0.45
47	1152.014	58.636	237.128	51.083	0.454
48	1161.029	59.31	238.153	51.862	0.456
49	1153.714	58.857	237.423	51.36	0.45
50	1150.458	58.846	234.69	51.395	0.451
51	1152.869	59.814	235.057	51.695	0.464
52	1154.276	59.142	235.881	51.758	0.46
53	1149.318	59.311	235.367	51.338	0.453
54	1150.146	59.126	233.168	50.981	0.457
55	1147.668	58.556	237.279	51.464	0.452
56	1148.094	59.241	237.518	51.508	0.47
57	1158.592	58.672	236.356	51.516	0.443
58	1155.457	58.997	237.298	51.49	0.442
59	1158.939	59.439	237.245	51.763	0.452
60	1150.157	59.319	234.434	51.365	0.456
61	1141.507	58.93	233.446	51.37	0.455
62	1164.634	59.467	237.321	51.711	0.453
63	1141.334	58.485	233.886	51.087	0.443
64	1147.327	58.503	234.13	50.704	0.437
65	1156.422	60.303	236.507	52.064	0.469
