Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N
AC_WGS_49	1.82E-02	4.12E-02	2.71E-02	0.00E+00	3.33E-02	2.86E-02	7.61E-02	5.74E-03	3.79E-02	6.14E-02	2.85E-02	2.05E-02	2.51E-02	6.07E-02
AC_WGS_50	3.87E-02	7.60E-02	2.57E-01	1.62E-01	5.45E-01	1.90E-01	1.43E-01	3.41E-01	2.31E-01	2.27E-01	4.64E-01	4.24E-01	5.75E-01	7.46E-02
AC_WGS_51	1.73E-02	6.63E-02	5.08E-02	6.97E-03	9.54E-02	2.50E-02	1.97E-02	3.33E-02	4.46E-02	1.83E-02	7.29E-02	8.58E-02	3.04E-02	2.14E-02
AC_WGS_52	9.89E-02	9.72E-02	9.73E-02	0.00E+00	4.38E-02	4.41E-02	3.33E-02	0.00E+00	6.22E-02	5.04E-02	1.01E-01	4.07E-02	8.96E-02	5.26E-02
AC_WGS_53	2.41E-02	4.44E-02	3.12E-02	3.60E-03	3.28E-02	2.76E-02	2.31E-02	2.00E-03	2.26E-02	3.95E-02	2.41E-02	2.37E-02	3.09E-02	2.49E-02
AC_WGS_11	3.19E-02	2.98E-02	5.84E-02	0.00E+00	5.09E-02	1.09E-01	4.04E-02	3.87E-02	4.97E-02	5.74E-02	3.51E-02	1.02E-01	6.00E-02	1.27E-01
AC_WGS_37	2.02E-02	3.77E-02	2.16E-02	0.00E+00	2.89E-02	3.18E-02	2.38E-02	9.18E-03	2.23E-02	2.57E-02	5.22E-02	4.06E-02	2.97E-02	1.31E-02
RC596TH1	3.48E-02	2.86E-02	5.28E-02	0.00E+00	5.35E-02	5.81E-02	3.34E-02	0.00E+00	4.07E-02	1.06E-01	3.92E-02	3.64E-02	6.03E-02	1.20E-01
RC597TH1	3.13E-02	2.93E-02	3.89E-02	0.00E+00	3.22E-02	6.52E-02	2.92E-02	1.00E-03	2.66E-02	6.12E-02	2.46E-02	3.34E-02	3.70E-02	3.12E-02
RC598TH1	3.30E-02	4.47E-02	4.41E-02	0.00E+00	3.69E-02	4.24E-02	1.89E-02	4.00E-03	2.02E-02	5.07E-02	3.86E-02	2.63E-02	5.00E-02	2.69E-02
RC599TH1	9.41E-02	2.84E-02	4.70E-02	0.00E+00	5.23E-02	1.11E-01	2.99E-02	1.00E-02	4.23E-02	4.23E-02	3.89E-02	2.96E-02	2.50E-02	4.09E-02
RC602TH1	7.31E-02	8.42E-02	4.45E-02	6.16E-03	1.13E-01	6.35E-02	2.63E-02	2.10E-02	4.33E-02	3.82E-02	3.60E-02	6.54E-02	4.90E-02	1.10E-01
RC603TH1	6.95E-01	2.96E+00	2.55E+00	8.92E-02	1.35E+00	1.43E+00	3.71E-01	6.92E-02	9.64E-01	7.11E-01	1.24E+00	6.31E-01	3.02E+00	8.49E-01
