Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	9.904	72.461	2.933	48.569	0.64
2	9.224	75.262	2.889	50.853	0.658
3	9.241	64.019	2.74	43.27	0.565
4	10.47	76.371	3.388	50.553	0.63
5	9.521	69.282	3.002	46.449	0.581
6	9.817	70.956	2.959	47.515	0.626
7	8.53	70.391	2.779	47.259	0.625
8	8.638	64.257	2.698	42.699	0.567
9	9.623	81.241	3.162	53.667	0.717
10	10.29	73.865	3.274	49.074	0.65
11	9.63	68.609	3.031	46.418	0.578
12	9.186	67.73	2.904	45.901	0.592
13	10.171	71.437	3.127	47.782	0.612
14	8.761	73.451	2.849	49.259	0.666
15	9.066	72.68	2.952	47.905	0.643
16	8.934	64.036	2.782	43.183	0.58
17	9.071	69.583	2.921	45.961	0.645
18	9.299	75.556	3.014	49.656	0.661
19	9.777	75.295	3.167	48.859	0.689
20	9.872	70.528	3.02	47.328	0.617
21	8.216	67.984	2.736	46.106	0.6
22	10.085	75.744	3.222	49.157	0.641
23	8.502	64.085	2.631	43.353	0.576
24	7.993	66.787	2.747	46.665	0.566
25	9.353	67.124	2.882	46.084	0.582
26	8.625	69.111	2.716	45.401	0.576
27	8.89	68.237	2.693	45.219	0.617
28	8.408	68.142	2.675	46.723	0.595
29	9.404	68.715	3.012	47.61	0.582
30	9.977	76.056	3.219	49.234	0.662
31	9.023	68.192	2.804	45.207	0.596
32	9.638	72.67	2.996	48.731	0.607
33	9.07	71.066	2.933	47.605	0.606
34	9.613	72.421	2.996	48.456	0.602
35	9.934	74.805	3.017	48.882	0.69
36	9.376	73.295	3.026	49.88	0.645
37	8.799	68.401	2.967	47.308	0.621
38	7.838	66.022	2.608	45.456	0.583
39	9.62	66.427	2.859	45.041	0.581
40	9.406	68.794	3.083	47.591	0.572
41	9.07	73.792	2.927	50.584	0.639
42	8.745	66.917	2.719	45.878	0.57
43	8.825	68.288	2.788	45.864	0.597
44	9.266	72.399	2.822	48.152	0.636
45	8.803	67.506	2.672	43.884	0.595
46	10.531	73.619	3.329	49.843	0.632
47	8.939	69.954	2.884	47.697	0.578
48	9.896	72.354	2.931	48.131	0.642
49	9.211	72.63	2.896	48.725	0.592
50	9.723	78.137	3.151	51.512	0.653
51	8.623	69.868	2.685	46.263	0.59
52	9.599	70.272	2.898	46.852	0.647
53	10.217	70.042	3.068	47.324	0.607
54	9.53	68.155	2.877	45.986	0.603
