MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	4.4488562372153046e-08	8.208136031922315e-08	1.732253464411684e-07	2.3909906962377124e-07	7.264645187611819e-08	2.826940896002656e-08	1.1687616067732207e-08	1.3829931563784208e-07	1.3351597854915572e-07	1.675818039262039e-07	4.3917137460452056e-08	8.711657137661818e-08	1.1605432979561035e-07
1:Del:C:1	0.011241231379473702	0.03514788518494872	0.019227088079250422	0.019290541053643785	0.016673024523822588	0.025268726997620807	0.014268506700243965	0.04757223174113286	0.07049371638830614	0.04647873106953537	0.02749866280951817	0.02537250715923009	0.03522486808164453
1:Del:C:2	0.0028242986151242083	0.006953429875549395	0.006006054747287366	0.006940718595765157	0.004631795315479908	0.006994816111732222	0.005309030006635631	0.01878898181706135	0.01955142096208513	0.014794440900475065	0.006299457588114581	0.007259982532521277	0.008674286055506446
1:Del:C:3	0.0012900775251174406	0.0031957183564325486	0.0028173903674969187	0.003190280590291217	0.0021963138146937834	0.003269230292423675	0.0023055893513902114	0.009345546931625752	0.007540367719111604	0.0062660582734647115	0.002497850155213546	0.00419361692463588	0.003924305220747006
1:Del:C:4	0.0008707837149249201	0.002186896324981002	0.0016226003466912648	0.0017977731228457099	0.001363462045293177	0.0017148690816247993	0.0015528822525271943	0.0037104214250207237	0.006487088309118338	0.004475939458082326	0.001930654291913266	0.0018245667761699995	0.0028174829971027828
1:Del:C:5	0.0015494871813695864	0.002492412803081286	0.0021919551319180526	0.003910349226782419	0.0015895942870178678	0.0023300321759009545	0.0018195515175838586	0.004119341957394792	0.004227031664374467	0.003936987989306169	0.0023125461041287737	0.002778975330585405	0.0031424082502866145
1:Del:T:0	4.4488562372153046e-08	8.208136031922315e-08	1.732253464411684e-07	2.3909906962377124e-07	7.264645187611819e-08	2.826940896002656e-08	1.1687616067732207e-08	1.3829931563784208e-07	1.3351597854915572e-07	1.675818039262039e-07	4.3917137460452056e-08	8.711657137661818e-08	1.1605432979561035e-07
1:Del:T:1	0.007686908913354827	0.015513278233900536	0.015017098271609679	0.013916192982564628	0.01246035437914238	0.015820501096022337	0.011327905063254705	0.053410787496820905	0.04682651056262681	0.03406162822958337	0.013322271026251642	0.01891681802881279	0.022143247507515063
1:Del:T:2	0.003906256586304227	0.010078397010180928	0.008665273962715651	0.00970785329772589	0.005951868555802063	0.0084930816743625	0.006774329115806979	0.02416365543260499	0.025975302088582945	0.019188483787518164	0.008701117649478238	0.009844721383576343	0.012619308410852917
1:Del:T:3	0.003935044277250718	0.009106435003765278	0.0068469765820258375	0.006758184250010178	0.005419016631288116	0.00789216031375356	0.006006097144343858	0.019100844884631294	0.021662698981749634	0.015976107025286766	0.007769080626350166	0.008759974194874854	0.009974323521557516
