MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
4:Ins:R:0	7.29E-05	8.35E-05	1.06E-04	1.24E-04	1.44E-04	9.74E-05	1.19E-04	9.67E-05	1.08E-04	1.06E-04	1.62E-04	1.64E-04	2.28E-04
4:Ins:R:1	1.68E-04	1.84E-04	1.94E-04	2.29E-04	3.23E-04	2.15E-04	2.39E-04	2.13E-04	1.63E-04	1.37E-04	2.63E-04	3.07E-04	2.98E-04
4:Ins:R:2	1.05E-05	1.54E-05	2.69E-05	2.12E-05	2.57E-05	1.31E-05	2.28E-05	1.52E-05	1.17E-05	1.52E-05	2.40E-05	2.81E-05	3.10E-05
4:Ins:R:3	1.55E-09	1.90E-09	2.68E-09	2.04E-09	3.31E-09	1.16E-09	2.59E-09	1.45E-09	1.12E-09	1.46E-09	3.43E-09	3.32E-09	3.29E-09
4:Ins:R:4	1.56E-05	1.69E-05	1.98E-05	2.22E-05	3.73E-05	9.63E-06	3.12E-05	1.26E-05	9.75E-06	1.86E-05	2.37E-05	3.84E-05	3.27E-05
4:Ins:R:5	3.24E-05	3.54E-05	3.39E-05	4.52E-05	4.92E-05	3.23E-05	4.45E-05	3.56E-05	3.12E-05	3.42E-05	4.49E-05	5.18E-05	7.11E-05
5:Ins:R:0	1.36E-04	2.06E-04	2.27E-04	2.14E-04	3.08E-04	1.63E-04	2.20E-04	1.67E-04	1.52E-04	1.60E-04	2.08E-04	2.92E-04	3.72E-04
5:Ins:R:1	2.33E-04	3.20E-04	3.93E-04	3.99E-04	6.18E-04	2.61E-04	4.94E-04	2.32E-04	1.96E-04	2.69E-04	3.81E-04	5.05E-04	5.06E-04
5:Ins:R:2	8.19E-06	1.36E-05	1.89E-05	1.72E-05	2.91E-05	9.71E-06	2.12E-05	1.23E-05	7.56E-06	1.16E-05	1.47E-05	2.26E-05	2.08E-05
5:Ins:R:3	7.69E-06	9.70E-06	7.34E-06	1.35E-05	1.71E-05	5.65E-06	1.15E-05	7.30E-06	4.21E-06	6.33E-06	1.19E-05	1.38E-05	1.22E-05
5:Ins:R:4	9.05E-06	1.52E-05	1.61E-05	1.63E-05	2.39E-05	1.18E-05	1.58E-05	1.02E-05	8.41E-06	1.31E-05	1.17E-05	2.28E-05	2.69E-05
5:Ins:R:5	5.71E-06	6.76E-06	6.59E-06	9.45E-06	1.81E-05	6.73E-06	1.31E-05	6.54E-06	5.73E-06	8.28E-06	8.80E-06	1.30E-05	1.29E-05
2:Del:M:1	2.98E-04	3.61E-04	4.48E-04	3.64E-04	5.81E-04	2.54E-04	3.76E-04	3.25E-04	2.28E-04	4.24E-04	4.81E-04	5.26E-04	5.77E-04
3:Del:M:1	5.88E-04	4.83E-04	5.95E-04	7.15E-04	8.05E-04	4.28E-04	5.96E-04	5.00E-04	3.62E-04	3.80E-04	8.72E-04	7.57E-04	8.58E-04
3:Del:M:2	2.65E-04	2.34E-04	3.07E-04	3.40E-04	3.93E-04	2.64E-04	2.88E-04	1.91E-04	1.49E-04	1.85E-04	4.23E-04	3.34E-04	2.82E-04
4:Del:M:1	1.87E-04	2.10E-04	2.27E-04	2.03E-04	3.86E-04	1.68E-04	2.76E-04	1.93E-04	1.20E-04	1.52E-04	2.49E-04	3.46E-04	2.45E-04
4:Del:M:2	1.39E-04	1.96E-04	1.66E-04	1.73E-04	2.76E-04	1.45E-04	2.03E-04	1.56E-04	1.29E-04	1.43E-04	1.97E-04	2.83E-04	2.43E-04
4:Del:M:3	6.07E-05	5.27E-05	5.82E-05	5.74E-05	1.09E-04	4.35E-05	6.60E-05	5.34E-05	3.10E-05	4.29E-05	5.12E-05	7.89E-05	7.08E-05
5:Del:M:1	4.01E-04	3.98E-04	4.85E-04	4.85E-04	6.94E-04	3.84E-04	4.91E-04	3.81E-04	2.77E-04	4.25E-04	4.58E-04	6.55E-04	6.37E-04
5:Del:M:2	1.63E-04	1.79E-04	2.52E-04	2.30E-04	3.46E-04	1.86E-04	2.45E-04	1.84E-04	1.46E-04	2.39E-04	3.02E-04	3.17E-04	3.72E-04
5:Del:M:3	6.43E-05	8.45E-05	9.85E-05	1.06E-04	1.60E-04	6.80E-05	1.16E-04	1.04E-04	6.97E-05	1.02E-04	9.83E-05	1.52E-04	1.38E-04
5:Del:M:4	2.30E-05	2.20E-05	3.64E-05	3.29E-05	4.03E-05	2.81E-05	3.44E-05	2.28E-05	2.39E-05	2.91E-05	3.72E-05	3.84E-05	5.54E-05
5:Del:M:5	2.45E-05	3.78E-05	2.96E-05	2.78E-05	6.62E-05	1.96E-05	3.95E-05	2.72E-05	2.44E-05	3.10E-05	3.48E-05	3.66E-05	3.81E-05
