Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
AC_WGS_33	1.58E+01	6.04E+00	7.66E+01	3.72E+00	2.55E+00	1.43E+01	3.36E+01	9.63E+00	5.76E+01	1.64E+01	2.11E+01	8.27E+01	1.58E+01	9.04E+00	4.76E+00
AC_WGS_34	1.81E+00	6.27E+00	1.27E+01	3.40E+00	1.07E+00	2.76E+00	1.04E+01	2.19E+00	1.57E+00	4.23E+00	1.22E+01	7.85E+00	9.63E+00	6.84E+00	1.18E+01
AC_WGS_35	1.79E-01	3.75E-01	7.71E-01	3.71E-01	6.00E-02	1.63E-01	8.68E-01	1.59E-01	3.40E-01	1.40E-01	7.74E-01	4.40E-01	1.05E+00	2.58E-01	5.18E-01
AC_WGS_36	9.60E-01	4.10E+00	5.68E+00	2.85E+00	6.39E-01	1.95E+00	1.06E+01	8.63E-01	1.78E+00	4.25E+00	7.64E+00	5.35E+00	9.06E+00	6.04E+00	3.54E+00
AC_WGS_39	3.41E+00	6.28E+00	5.19E+00	2.94E+00	6.39E-01	1.80E+00	7.22E+00	1.06E+00	2.66E+00	1.57E+00	7.38E+00	4.93E+00	6.55E+00	2.38E+00	3.48E+00
AC_WGS_40	5.58E-02	1.09E-01	4.97E-02	4.19E-01	0.00E+00	0.00E+00	9.77E-02	9.98E-02	2.00E-03	4.00E-03	4.37E-01	7.87E-02	1.80E-01	0.00E+00	2.24E-03
AC_WGS_41	1.75E+00	9.83E+00	1.91E+01	3.39E+00	9.05E-01	5.08E+00	2.55E+01	5.49E+00	1.08E+01	6.75E+00	1.80E+01	2.09E+01	2.25E+01	1.16E+01	1.59E+01
AC_WGS_42	7.58E-02	5.12E-02	1.38E-02	2.32E-01	4.88E-02	0.00E+00	4.57E-02	1.08E-01	7.44E-02	2.00E-03	2.90E-01	4.12E-02	1.34E-01	0.00E+00	1.41E-03
AC_WGS_43	3.13E-01	2.11E-01	2.10E-01	3.82E-01	3.01E-02	1.39E-01	1.57E-01	2.43E-02	1.69E-01	2.04E-01	4.70E-01	2.87E-01	1.03E-01	4.93E-02	1.69E-01
AC_WGS_45	1.28E-02	2.55E-01	6.41E-02	2.70E-01	2.39E-02	7.87E-02	6.69E-02	7.37E-02	6.72E-02	5.16E-02	3.61E-01	1.16E-01	2.11E-01	0.00E+00	0.00E+00
AC_WGS_46	5.44E-02	8.08E-02	2.27E-01	3.03E-01	6.97E-02	4.65E-02	1.32E-01	2.13E-01	6.70E-02	3.47E-02	4.26E-01	1.13E-01	1.83E-01	0.00E+00	1.94E-01
AC_WGS_49	1.06E+00	4.10E+00	3.35E+00	1.64E+00	4.74E-01	1.15E+00	5.66E+00	6.36E-01	8.62E-01	2.58E+00	5.31E+00	2.38E+00	5.62E+00	2.50E+00	1.35E+00
AC_WGS_50	1.12E+01	8.38E+00	1.42E+01	8.07E+00	1.62E+00	7.21E+00	9.35E+00	3.38E+00	3.40E+00	1.09E+01	9.43E+00	1.17E+01	8.98E+00	8.10E+00	8.02E+00
AC_WGS_51	1.76E+00	2.06E+00	3.12E+00	1.70E+00	4.07E-01	1.33E+00	4.37E+00	1.44E+00	1.49E+00	2.03E+00	3.33E+00	2.54E+00	4.20E+00	1.62E+00	1.30E+00
AC_WGS_52	1.76E+00	5.73E+00	5.31E+00	3.84E+00	6.93E-01	2.18E+00	8.76E+00	1.46E+00	2.32E+00	4.35E+00	5.91E+00	5.24E+00	7.73E+00	3.59E+00	3.45E+00
AC_WGS_53	2.62E-01	9.68E-01	1.20E+00	1.07E+00	2.04E-01	5.87E-01	1.26E+00	5.60E-01	1.11E+00	5.47E-01	1.23E+00	1.55E+00	8.36E-01	3.78E-01	1.08E+00
AC_WGS_11	1.42E+00	3.37E+00	3.75E+00	2.11E+00	4.77E-01	1.60E+00	5.85E+00	1.24E+00	1.71E+00	2.38E+00	5.21E+00	3.60E+00	5.65E+00	3.78E+00	1.95E+00
AC_WGS_37	3.37E-01	1.20E+00	2.15E+00	4.79E-01	9.08E-02	5.87E-01	2.95E+00	1.06E-01	8.91E-01	4.57E-01	1.50E+00	2.50E+00	1.90E+00	5.35E-01	2.11E+00
RC596TH1	5.89E-01	9.44E-01	2.45E+00	5.24E-01	5.39E-01	6.48E-01	4.64E+00	1.47E+00	1.88E+00	6.75E-01	4.17E+00	2.62E+00	4.32E+00	4.35E+00	1.91E+00
RC597TH1	3.26E-01	6.93E-01	4.98E+00	4.88E-01	1.21E-01	6.12E-01	2.37E+00	3.40E-01	2.01E+00	1.33E-01	2.23E+00	5.07E+00	1.27E+00	1.08E-01	4.15E+00
RC598TH1	1.54E-01	2.88E+00	2.63E+00	8.28E-01	2.64E-01	3.63E-01	2.17E+00	6.08E-01	1.17E+00	1.06E+00	1.74E+00	2.75E+00	3.61E+00	2.50E-01	2.49E+00
RC599TH1	3.06E+00	8.20E+00	6.20E+00	7.27E+00	6.13E-01	2.29E+00	6.37E+00	2.09E+00	1.53E+00	3.20E+00	4.92E+00	2.87E+00	7.45E+00	2.40E+00	3.45E+00
RC602TH1	1.82E-01	1.73E+00	4.21E+00	7.65E-01	3.57E-01	1.21E+00	4.96E+00	2.52E+00	2.42E+00	5.72E-01	2.37E+00	3.27E+00	4.13E+00	2.89E-01	1.31E+00
RC603TH1	8.20E+00	1.64E+01	5.59E+01	2.80E+01	5.25E+00	6.04E+00	2.78E+01	4.15E+01	9.28E+01	2.35E+01	4.51E+01	1.37E+02	2.14E+01	1.03E+01	4.35E+01
