MutationType	ID83A	ID83B	ID83C
1:Del:C:0	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
1:Del:C:1	2.402130658602915e-05	0.0088456956277717	0.09919859081671095
1:Del:C:2	1.4868287671512415e-05	0.0017250104819389808	0.02386096325503764
1:Del:C:3	1.6836797564746175e-09	0.001424543399860981	0.010807057363493635
1:Del:C:4	2.5778681032881756e-08	9.986984492682447e-05	0.00725338895104732
1:Del:C:5	0.0011489015641072196	0.001410948214070435	0.004162738878215413
1:Del:T:0	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
1:Del:T:1	0.00040260484558421586	0.0017953317905532824	0.05746773983174284
1:Del:T:2	3.9459005761016755e-05	0.004682901350885334	0.03203966569233961
1:Del:T:3	3.2362498536718356e-05	0.0005127952335796601	0.03073716229104199
1:Del:T:4	6.147522545006297e-05	0.0032850306178444717	0.02193915074113083
1:Del:T:5	0.16960981391073224	0.3199537355378384	0.05471633357917577
1:Ins:C:0	0.0006324030957048616	0.0008368858461667383	0.011289068685164041
1:Ins:C:1	6.115448328401458e-05	0.0012403040019361147	0.007176148347057159
1:Ins:C:2	5.255942199773318e-05	3.702627260412036e-05	0.0060544152989313585
1:Ins:C:3	3.351322052930864e-05	0.00012885579597548378	0.004197227429277415
1:Ins:C:4	3.421084000065939e-06	0.00018412308339794766	0.005583108252254686
1:Ins:C:5	0.0007388626657080413	0.00025939039868883517	0.030952811194317746
1:Ins:T:0	0.0032602064350428714	0.00012999277355827876	0.01787253959702348
1:Ins:T:1	0.0005507242856045428	0.0011802025516050602	0.03117028572231061
1:Ins:T:2	0.0007633121957629793	0.002588950866268903	0.014106031050266579
1:Ins:T:3	0.0005448416301208098	0.0012404373279334498	0.013267467779992709
1:Ins:T:4	0.00044690354000622047	0.001026413292383688	0.01360681103613409
1:Ins:T:5	0.6419297207604188	0.2779356466443522	0.22647516984439295
2:Del:R:0	0.13732283489195773	0.30868450567874794	0.0008047319152938575
2:Del:R:1	3.693632755869501e-07	0.0004255541173362991	0.00337070626190101
2:Del:R:2	2.9710476416765977e-09	0.000670388897291697	0.0010428845164736943
2:Del:R:3	2.4219441120992727e-05	0.00043029869315390896	1.1878827895953644e-06
2:Del:R:4	3.7815190756082387e-08	3.3746000557685136e-05	0.00011892410733252812
2:Del:R:5	0.0006050443903870947	1.412657300546211e-05	0.00033666204608138474
3:Del:R:0	0.004647125137096948	0.00989941665399486	0.00884073809072407
3:Del:R:1	0.0003067749320247807	0.0010483944090200047	0.0015366710239997792
3:Del:R:2	1.2828615756530872e-05	4.130122892990162e-05	0.0006127605824314267
3:Del:R:3	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
3:Del:R:4	3.953316625536549e-08	4.0689820347553105e-06	0.00014504368866122687
3:Del:R:5	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
4:Del:R:0	0.000588622039733585	0.002840202554497798	0.011562692543888838
4:Del:R:1	6.054915571591982e-07	0.00021503559856705072	0.000649221000221554
4:Del:R:2	3.536729787571849e-05	1.471756272193211e-05	2.1284786267562738e-05
4:Del:R:3	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
4:Del:R:4	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
4:Del:R:5	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
5:Del:R:0	0.00012383743208688357	0.0024191264468635993	0.04444919674702465
5:Del:R:1	3.34788247107503e-08	1.179466645745871e-07	0.00015970456594863958
5:Del:R:2	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
5:Del:R:3	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
5:Del:R:4	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
5:Del:R:5	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
2:Ins:R:0	0.0017194265615399949	0.0014228979145106747	0.015005684767134236
2:Ins:R:1	1.978435540978044e-06	0.0008881251780256691	0.008182128910667573
2:Ins:R:2	0.00031481615243408677	0.0005754413995144017	0.0026781717957976583
2:Ins:R:3	3.6761659703563054e-05	0.0001003493268779512	0.0016207116476198334
2:Ins:R:4	0.00025806277837890764	0.0006851598641107525	0.0019483508839156153
2:Ins:R:5	0.020257349995252583	0.005221725794479725	0.05157303846549918
3:Ins:R:0	0.0002919337689863836	4.366864428170841e-05	0.0035123874121509562
3:Ins:R:1	1.9397818926064582e-05	0.0007853506771780954	0.006402776322946983
3:Ins:R:2	2.72897813791682e-05	0.00016973460044817054	0.0006729234391828922
3:Ins:R:3	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
3:Ins:R:4	1.0380824006238857e-07	0.00011282471690299907	1.8722581905892946e-05
3:Ins:R:5	7.74133732230066e-05	0.00031907218733242154	0.000983761781327684
4:Ins:R:0	1.1472554622728628e-05	0.0002169265360468529	0.004087017843034545
4:Ins:R:1	2.872192838106238e-06	9.138933230892596e-05	0.009154271740013938
4:Ins:R:2	3.4660221844620197e-07	0.00011711150646225325	0.0003194963824219607
4:Ins:R:3	6.924631972444963e-08	2.2736307784942201e-07	1.848598604413355e-08
4:Ins:R:4	2.6647460814589083e-06	0.0001587171633733977	0.0002652067550117125
4:Ins:R:5	8.368037341822259e-07	8.075831660309352e-05	0.001144057282393241
5:Ins:R:0	6.944613941122999e-06	0.0006527359468076977	0.007823277122098373
5:Ins:R:1	4.7398310590786836e-05	0.0007382222179017763	0.013006734769282437
5:Ins:R:2	2.242432028201498e-08	0.0002445779969012063	3.094003400968797e-06
5:Ins:R:3	1.758665024648203e-05	1.1293920903517882e-05	9.158774581806184e-06
5:Ins:R:4	2.250552216576753e-08	8.127381760256027e-08	0.00032639106804973494
5:Ins:R:5	8.04041556439703e-08	1.017991189447559e-06	0.00015151122978990204
2:Del:M:1	0.0005077502084335928	0.0003786396395472718	0.016526101985763573
3:Del:M:1	0.008588682854423482	0.01839406257427941	0.0036780815686084855
3:Del:M:2	0.0012450977420503087	0.004440468143373917	0.0014484055818653387
4:Del:M:1	0.0006618818115644713	0.0017058183760663554	0.006843844832330947
4:Del:M:2	0.0017392452693210298	0.0017433710616815178	0.0027186146842477863
4:Del:M:3	4.5152051148389564e-05	0.000434092287146284	0.0013078294740029553
5:Del:M:1	5.1603262530505355e-09	0.0024345187045996014	0.0257945998984872
5:Del:M:2	3.6093999422107436e-06	3.2153356375807826e-05	0.010561526780894379
5:Del:M:3	8.813904241941864e-05	0.0002833996666604671	0.003133253519392823
5:Del:M:4	5.379006624716802e-06	3.7609147045960774e-05	0.0008332980899312608
5:Del:M:5	4.755536411053285e-07	0.00021063651970469423	0.0006790428923309417
