Iteration	L1	L1 %	L2	L2 %	KL Divergence
145	11.659	78.195	3.324	49.772	0.675
146	12.293	80.428	3.769	51.41	0.717
147	9.753	76.939	3.032	50.809	0.72
148	11.114	81.019	3.206	49.955	0.744
149	10.531	72.534	3.072	47.428	0.656
150	11.132	83.349	3.43	52.363	0.758
151	12.858	82.356	4.007	52.356	0.759
152	11.02	76.958	3.35	51.892	0.739
153	10.032	76.258	3.006	48.978	0.723
154	10.159	73.129	3.07	49.644	0.701
155	11.39	76.461	3.245	49.386	0.702
156	11.687	84.958	3.649	54.146	0.743
157	10.133	71.706	3.224	48.093	0.667
158	10.156	77.78	3.136	51.457	0.702
159	11.063	75.641	3.357	50.696	0.697
160	10.587	75.621	3.182	51.058	0.665
161	11.054	79.846	3.554	51.505	0.717
162	10.988	76.097	3.348	50.513	0.691
163	10.625	76.858	3.217	49.56	0.689
164	11.308	79.992	3.398	51.589	0.731
165	10.285	70.196	3.158	44.35	0.646
166	10.808	72.282	3.139	47.814	0.667
167	10.315	77.2	3.245	51.188	0.714
168	10.245	75.104	3.006	48.692	0.701
169	10.342	69.646	3.055	46.672	0.63
170	10.676	80.139	3.353	51.38	0.759
171	10.179	74.898	3.029	48.485	0.713
172	9.932	72.587	2.907	46.453	0.666
173	10.768	73.55	3.328	49.34	0.629
174	10.467	80.396	3.228	52.293	0.772
175	11.908	82.271	3.532	54.022	0.745
176	10.441	76.194	3.252	49.071	0.719
177	10.084	75.697	3.177	50.124	0.734
178	12.229	81.599	3.498	52.607	0.766
179	11.861	81.28	3.697	52.049	0.704
180	9.94	73.49	3.04	47.501	0.67
181	11.099	81.992	3.366	52.971	0.727
182	10.504	74.497	3.226	48.589	0.714
183	11.414	75.713	3.502	48.72	0.662
184	11.158	76.435	3.452	48.422	0.676
185	12.097	83.487	3.861	55.387	0.745
186	9.864	71.344	3.003	47.713	0.651
187	10.289	80.641	3.222	51.64	0.764
188	9.698	71.626	2.923	47.094	0.663
189	10.387	76.136	3.144	50.447	0.677
190	9.603	73.566	3.002	47.445	0.673
191	10.271	78.329	3.25	50.341	0.742
192	11.63	76.765	3.607	50.457	0.696
193	10.169	78.03	3.17	51.527	0.707
194	10.437	80.178	3.104	51.84	0.731
195	11.765	78.294	3.591	50.843	0.728
196	10.138	79.009	3.12	52.878	0.72
197	9.854	72.84	3.058	48.404	0.651
198	10.956	77.862	3.34	49.673	0.696
199	11.424	76.499	3.31	50.758	0.698
200	9.963	73.075	3.104	48.73	0.654
201	10.218	78.982	3.165	50.598	0.75
202	10.351	79.983	3.147	51.564	0.735
203	10.038	74.273	2.96	47.693	0.678
204	10.589	74.51	3.209	49.4	0.686
205	10.918	69.343	3.191	47.023	0.638
206	10.598	78.65	3.319	52.45	0.727
207	10.834	79.145	3.285	50.797	0.722
208	9.5	73.225	2.933	47.138	0.673
209	9.791	71.219	2.987	47.724	0.678
210	9.552	70.36	2.977	46.318	0.631
211	11.12	76.581	3.437	49.738	0.684
212	10.221	75.043	3.145	49.399	0.733
213	11.5	78.744	3.315	50.858	0.7
214	10.154	71.655	3.005	48.056	0.626
215	10.369	77.313	3.198	50.753	0.669
216	10.245	77.03	3.116	50.14	0.717
217	10.375	76.557	3.135	50.724	0.744
218	9.652	77.821	2.965	50.477	0.743
219	10.731	77.355	3.125	49.8	0.732
220	10.383	78.935	3.251	51.043	0.731
221	10.773	79.086	3.287	51.017	0.732
222	10.475	73.817	3.202	47.531	0.682
223	10.676	77.742	3.444	51.625	0.74
224	11.764	83.672	3.5	52.825	0.789
225	10.486	74.21	3.243	49.29	0.667
226	11.519	76.681	3.381	49.642	0.649
227	10.309	77.556	3.006	49.437	0.743
228	11.19	74.155	3.404	46.67	0.652
229	10.772	75.866	3.236	50.625	0.672
230	10.945	75.742	3.259	50.143	0.682
231	11.954	81.116	3.341	51.862	0.738
232	12.432	78.233	3.915	51.099	0.695
233	10.734	72.897	3.179	47.736	0.655
234	11.205	83.777	3.372	53.001	0.816
235	10.565	75.694	3.253	48.698	0.693
236	10.139	68.955	3.032	44.274	0.608
237	11.042	78.542	3.388	50.387	0.717
238	11.564	76.31	3.35	49.881	0.676
239	11.715	79.898	3.571	51.798	0.74
240	11.841	84.097	3.568	55.147	0.75
241	10.203	77.059	3.094	50.683	0.719
242	11.375	75.616	3.341	50.38	0.686
243	11.976	81.424	3.835	53.778	0.738
244	11.003	79.771	3.279	51.885	0.766
245	11.486	76.32	3.418	50.169	0.681
246	10.494	75.453	3.211	50.241	0.68
247	10.71	71.229	3.273	47.08	0.652
248	10.369	76.134	3.168	50.361	0.685
249	11.336	74.765	3.319	48.499	0.677
250	10.044	75.945	2.965	48.903	0.701
251	11.628	77.946	3.466	50.851	0.688
252	10.372	76.323	3.107	49.413	0.722
253	10.711	75.84	3.209	49.329	0.702
254	10.027	79.444	3.259	52.479	0.755
255	10.386	76.715	3.16	48.028	0.694
256	11.522	78.098	3.422	51.252	0.694
257	10.598	72.931	3.205	46.662	0.666
258	11.832	79.95	3.535	50.274	0.71
259	11.487	80.364	3.383	51.778	0.728
260	11.551	79.702	3.517	51.732	0.739
261	12.127	86.246	3.598	55.058	0.76
262	10.753	78.313	3.263	51.336	0.709
263	11.289	74.636	3.325	48.143	0.653
264	10.501	74.97	3.418	48.911	0.68
265	10.836	82.336	3.359	52.556	0.792
266	11.015	83.398	3.276	52.353	0.777
267	10.819	78.331	3.224	50.404	0.725
268	10.903	73.031	3.106	48.892	0.681
269	11.538	77.081	3.686	49.172	0.68
270	10.581	74.643	3.202	48.615	0.675
271	9.653	73.991	3.127	48.705	0.697
272	11.222	81.018	3.363	52.935	0.75
273	9.579	72.038	2.923	46.897	0.661
274	10.303	78.066	3.172	51.809	0.716
275	9.914	74.855	3.096	48.5	0.7
276	10.643	78.974	3.249	51.654	0.752
277	10.93	73.839	3.173	48.533	0.67
278	10.671	76.013	3.375	49.237	0.671
279	9.86	77.131	3.144	51.648	0.717
280	11.23	74.791	3.544	48.73	0.678
281	10.569	78.29	3.202	50.506	0.699
282	10.383	74.067	3.179	49.131	0.697
283	10.767	79.537	3.361	50.264	0.69
284	11.722	80.673	3.615	51.428	0.734
285	10.848	77.424	3.163	51.094	0.719
286	10.532	77.117	3.368	51.006	0.74
287	10.542	75.957	3.274	50.452	0.713
288	11.808	74.299	3.622	48.306	0.711
289	11.373	80.51	3.434	53.197	0.755
290	10.631	77.6	3.192	51.564	0.722
291	11.439	76.956	3.488	51.447	0.71
292	10.053	79.788	3.14	53.077	0.759
293	11.477	80.579	3.33	53.203	0.775
294	10.742	79.772	3.275	52.725	0.736
295	10.326	80.739	3.233	53.069	0.761
296	10.553	78.158	3.175	50.413	0.747
297	11.768	78.159	3.785	49.674	0.68
298	11.268	80.64	3.382	53.769	0.743
299	10.087	71.306	2.996	47.186	0.66
300	11.26	75.323	3.269	48.313	0.689
301	9.825	73.332	2.913	47.477	0.694
302	10.239	73.277	3.005	48.902	0.67
303	10.698	72.624	3.208	47.563	0.666
304	11.578	77.709	3.316	50.468	0.729
305	11.728	83.616	3.374	54.058	0.76
306	11.364	78.14	3.394	50.798	0.746
307	10.649	77.908	3.365	50.561	0.693
308	10.553	78.545	3.167	50.59	0.735
309	9.553	79.655	3.005	51.666	0.762
310	10.937	75.927	3.271	49.185	0.675
311	9.511	69.527	2.852	46.243	0.646
312	10.878	79.25	3.278	52.005	0.735
313	10.471	78.387	3.174	50.341	0.733
314	10.53	78.215	3.143	52.437	0.715
315	11.226	81.913	3.224	52.812	0.758
316	10.137	73.5	2.934	48.446	0.708
317	11.777	78.047	3.399	49.965	0.686
318	11.734	84.12	3.618	53.951	0.79
319	10.29	82.676	3.251	51.73	0.812
320	9.971	76.252	3.125	50.783	0.683
321	10.364	81.879	3.118	52.425	0.813
322	11.508	78.552	3.629	50.113	0.68
323	11.988	82.145	3.729	53.305	0.722
324	9.569	73.287	2.868	47.087	0.694
325	11.33	75.759	3.359	49.752	0.702
326	9.973	77.375	3.009	51.04	0.708
327	10.456	72.702	3.368	48.613	0.654
328	11.144	80.677	3.503	52.311	0.76
329	9.801	71.514	2.994	46.948	0.672
330	12.037	76.051	3.654	49.936	0.64
331	10.383	77.64	3.074	50.895	0.738
332	10.98	72.977	3.205	47.395	0.648
333	11.726	79.229	3.482	51.492	0.712
334	10.762	82.646	3.413	53.065	0.787
335	10.112	73.363	3.087	46.932	0.658
336	10.862	79.127	3.18	50.407	0.761
337	10.718	80.581	3.284	52.398	0.763
338	11.283	81.061	3.229	51.841	0.784
339	11.029	74.966	3.23	49.537	0.688
340	11.211	78.133	3.433	50.935	0.714
341	11.381	83.74	3.399	53.664	0.766
342	9.782	75.608	3.1	50.403	0.679
343	9.632	76.165	2.998	49.54	0.698
344	11.766	77.561	3.432	49.716	0.711
345	10.87	84.827	3.361	54.849	0.786
346	11.374	78.95	3.37	51.156	0.76
347	10.884	74.457	3.277	47.103	0.692
348	10.363	77.847	3.095	51.186	0.734
349	10.795	78.858	3.162	50.258	0.763
350	10.366	76.325	3.237	50.0	0.696
351	12.121	77.789	3.495	49.512	0.695
352	9.721	71.436	3.051	47.538	0.644
353	9.931	72.606	3.106	46.869	0.678
354	9.866	75.092	2.998	48.807	0.737
355	11.367	79.12	3.265	51.201	0.729
356	9.614	73.064	2.915	49.117	0.659
357	9.868	77.516	3.073	50.347	0.745
358	10.37	75.468	3.112	48.748	0.671
359	10.377	73.185	2.941	47.088	0.657
360	11.161	76.072	3.296	50.24	0.69
361	11.619	79.42	3.481	51.957	0.725
362	11.965	80.744	3.576	52.136	0.723
363	10.718	79.746	3.304	50.385	0.748
364	11.6	80.245	3.533	51.759	0.729
365	11.125	76.722	3.464	49.424	0.684
366	10.575	82.319	3.287	53.651	0.787
367	11.576	74.067	3.441	49.721	0.662
368	11.903	74.86	3.544	50.278	0.666
369	9.917	69.494	2.968	46.171	0.611
370	10.33	79.985	3.203	52.531	0.71
371	10.9	80.989	3.096	51.343	0.771
372	11.645	76.018	3.454	50.881	0.694
373	11.599	77.791	3.384	49.205	0.707
374	9.852	71.694	2.905	46.244	0.652
375	11.607	77.919	3.363	50.674	0.718
376	10.636	69.77	3.054	46.096	0.627
377	11.357	80.78	3.414	53.734	0.76
378	10.52	77.122	3.188	49.784	0.751
379	11.701	86.278	3.338	53.664	0.798
380	10.01	70.828	2.992	46.573	0.671
381	11.472	81.698	3.532	52.501	0.769
382	10.498	73.999	3.185	48.711	0.699
383	11.396	87.033	3.321	54.182	0.833
384	11.245	78.929	3.307	50.276	0.751
385	10.081	76.038	3.018	47.361	0.731
386	11.153	77.416	3.323	50.749	0.696
387	9.707	79.601	3.065	51.767	0.75
388	10.888	80.021	3.149	51.4	0.764
389	11.223	77.659	3.427	50.763	0.673
390	9.919	74.217	3.088	48.767	0.67
391	10.071	72.879	2.991	48.019	0.691
392	11.934	78.189	3.709	51.304	0.681
393	11.133	74.467	3.353	50.953	0.653
394	10.945	81.655	3.272	52.057	0.75
395	9.54	77.118	3.027	50.751	0.695
396	11.485	79.442	3.511	51.306	0.742
397	10.929	76.793	3.263	48.432	0.712
398	12.413	85.225	3.559	53.211	0.788
399	11.017	81.41	3.264	52.75	0.772
400	10.19	75.633	3.122	50.128	0.697
401	10.293	77.767	3.207	50.218	0.743
402	11.746	78.584	3.577	51.469	0.74
403	10.742	80.31	3.218	53.227	0.798
404	10.447	75.534	3.327	48.702	0.697
405	10.448	79.606	3.186	50.932	0.761
406	10.75	78.082	3.277	50.213	0.748
407	9.49	76.641	2.881	48.432	0.735
408	10.546	77.508	3.139	50.978	0.704
409	10.068	77.043	2.989	50.407	0.707
410	11.062	70.238	3.448	46.872	0.613
411	11.827	80.578	3.35	51.867	0.693
412	11.198	78.458	3.274	51.212	0.712
413	10.902	75.279	3.098	46.753	0.713
414	10.49	73.297	3.008	47.352	0.679
415	10.257	79.863	3.197	52.382	0.726
416	10.241	72.718	3.017	49.208	0.637
417	11.314	76.406	3.399	49.755	0.626
