MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
5:Ins:R:2	1.24E-05	1.17E-05	2.09E-05	2.86E-05	1.03E-05	1.25E-05	1.15E-05	2.43E-05	9.83E-06	8.89E-06	1.56E-05	1.34E-05
5:Ins:R:3	5.78E-06	8.79E-06	8.89E-06	1.79E-05	5.87E-06	9.78E-06	4.59E-06	1.03E-05	8.04E-06	4.55E-06	8.62E-06	9.18E-06
5:Ins:R:4	8.34E-06	1.05E-05	9.02E-06	1.43E-05	4.40E-06	3.85E-05	7.76E-06	1.47E-05	6.82E-06	8.79E-06	9.61E-06	9.15E-06
5:Ins:R:5	7.15E-06	7.51E-06	8.59E-06	1.37E-05	5.53E-06	1.20E-05	5.17E-06	1.31E-05	8.46E-06	5.90E-06	9.64E-06	6.72E-06
2:Del:M:1	2.36E-04	2.78E-04	4.53E-04	5.51E-04	2.37E-04	5.12E-04	3.85E-04	4.47E-04	4.24E-04	2.60E-04	3.55E-04	3.60E-04
3:Del:M:1	4.21E-04	4.48E-04	7.02E-04	7.25E-04	3.21E-04	4.52E-04	4.40E-04	8.18E-04	6.22E-04	6.04E-04	5.30E-04	4.30E-04
3:Del:M:2	1.90E-04	1.91E-04	2.74E-04	3.52E-04	2.10E-04	1.77E-04	1.78E-04	3.57E-04	2.43E-04	3.04E-04	2.80E-04	2.32E-04
4:Del:M:1	1.82E-04	2.07E-04	2.18E-04	3.58E-04	1.18E-04	1.82E-04	1.73E-04	2.63E-04	2.58E-04	1.35E-04	2.45E-04	2.17E-04
4:Del:M:2	1.40E-04	1.56E-04	2.05E-04	3.13E-04	1.17E-04	2.14E-04	1.07E-04	2.35E-04	2.17E-04	1.40E-04	2.12E-04	1.88E-04
4:Del:M:3	4.83E-05	4.28E-05	7.22E-05	7.75E-05	3.09E-05	7.39E-05	4.36E-05	6.59E-05	4.98E-05	4.27E-05	6.30E-05	4.74E-05
5:Del:M:1	3.56E-04	4.21E-04	5.58E-04	6.53E-04	2.76E-04	5.98E-04	3.71E-04	6.54E-04	4.58E-04	3.07E-04	4.75E-04	3.69E-04
5:Del:M:2	1.60E-04	1.88E-04	3.02E-04	3.23E-04	1.52E-04	3.04E-04	1.53E-04	3.48E-04	2.39E-04	1.78E-04	2.39E-04	2.12E-04
5:Del:M:3	7.51E-05	9.71E-05	1.31E-04	1.61E-04	6.15E-05	1.07E-04	9.15E-05	1.37E-04	1.26E-04	8.60E-05	1.15E-04	1.05E-04
5:Del:M:4	2.67E-05	2.64E-05	3.93E-05	4.52E-05	2.20E-05	3.72E-05	2.56E-05	5.30E-05	2.78E-05	2.32E-05	3.08E-05	2.51E-05
5:Del:M:5	2.44E-05	2.58E-05	3.34E-05	5.89E-05	1.89E-05	3.81E-05	2.34E-05	4.59E-05	2.87E-05	2.18E-05	3.62E-05	3.00E-05
