MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	6.504235762365016e-08	4.118713499104142e-08	1.9512202511321895e-07	6.210538633375305e-08	1.2425065060309984e-07	8.958203495877637e-08	2.5684788950074753e-08	2.3714648559091074e-07	1.694675380529375e-07	8.955051947952422e-08	1.1231720015860152e-07	1.3249644845500767e-08
1:Del:C:1	0.011691950956212702	0.01138604419974856	0.013539233506511447	0.028963656684622207	0.029736588371725953	0.13061272875822083	0.01933291668136733	0.017236419963077725	0.030983067257736495	0.018369542213478005	0.03545980449631088	0.015922033352144895
1:Del:C:2	0.0039279186789872005	0.003516158224144982	0.005225706474646362	0.0065397352617969935	0.007516941890062525	0.02494657051000584	0.005784285260448117	0.008709035682769354	0.014055157333566111	0.00609040955630819	0.013633879947009845	0.0054600836834855565
1:Del:C:3	0.0016160770947275269	0.0016379672129568491	0.002172852599321584	0.0027588627825998985	0.0030169821176439624	0.01510569202445685	0.002229219837673819	0.004075059714091543	0.004585124803752792	0.0027397983983755594	0.006681155195304411	0.0023797645740352147
1:Del:C:4	0.0008568505477733838	0.0009924132722439992	0.0012864893216660907	0.001820597832174124	0.0024237846851336594	0.006440621758260489	0.0016770098596919224	0.0023621055829711603	0.0057817522471712655	0.0018158878799223062	0.0034580160989210328	0.0014354978968786885
1:Del:C:5	0.001714149048295276	0.0015312056792002452	0.0023735518158780593	0.0024708737165255804	0.002938474363261726	0.0032792948226310426	0.0019929126990156387	0.0034383874729437	0.004523072915436422	0.002148338001308831	0.003563764914616913	0.0020396417768670867
1:Del:T:0	6.504235762365016e-08	4.118713499104142e-08	1.9512202511321895e-07	6.210538633375305e-08	1.2425065060309984e-07	8.958203495877637e-08	2.5684788950074753e-08	2.3714648559091074e-07	1.694675380529375e-07	8.955051947952422e-08	1.1231720015860152e-07	1.3249644845500767e-08
1:Del:T:1	0.008165746074042869	0.00684879135448844	0.00955763506369702	0.011672384164783096	0.012795018341720027	0.10978380037177715	0.012382767702906496	0.016742109801989192	0.025723272566332077	0.010456669449459832	0.031857940567926984	0.010648573845200005
1:Del:T:2	0.005354127708369015	0.00489005669675402	0.007269433186661127	0.008707753222451847	0.009931716988942973	0.038006627336475245	0.007506002505896138	0.01175370667935065	0.019254826494442944	0.006917297693338122	0.016495860843750543	0.007167980878192502
1:Del:T:3	0.003983237536504839	0.0036218086710223005	0.004379217542630538	0.007031038623318918	0.008720828210730286	0.03620706432671584	0.006872644477091524	0.007690062656639263	0.014692289245632453	0.0066218792134996015	0.01380859597260132	0.005920208973244488
1:Del:T:4	0.0030792424688742557	0.0030256353525682923	0.005738499497742811	0.004994733475116492	0.007626314228138023	0.028085290460474734	0.005301283911611525	0.011855396399669782	0.01831070020533378	0.005629942655638583	0.015387750147110125	0.004783739845239654
