Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	74.125	6.641	18.409	2.876	0.025
2	70.207	6.307	17.628	2.727	0.023
3	71.082	6.37	18.117	2.775	0.024
4	73.008	6.644	18.65	3.067	0.023
5	75.165	6.788	19.706	3.072	0.024
6	76.591	6.83	21.227	3.188	0.024
7	76.785	6.945	20.355	3.222	0.024
8	72.142	6.502	17.725	2.788	0.024
9	74.426	6.516	19.265	2.895	0.023
10	74.247	6.63	18.633	2.829	0.025
11	70.53	6.39	17.479	2.71	0.025
12	73.862	6.473	18.361	2.728	0.024
13	70.681	6.373	18.066	2.829	0.024
14	75.327	6.731	18.996	2.936	0.024
15	72.787	6.388	19.205	2.89	0.022
16	74.614	6.727	19.614	3.034	0.024
17	75.357	6.854	21.203	3.287	0.023
18	70.647	6.455	17.555	2.8	0.025
19	73.135	6.573	18.3	2.878	0.023
20	65.874	5.868	15.068	2.315	0.024
21	67.646	6.102	16.315	2.572	0.023
22	68.365	6.11	16.332	2.513	0.024
23	75.446	6.742	19.567	2.989	0.025
24	73.037	6.526	19.158	2.919	0.023
25	71.575	6.301	18.201	2.697	0.023
26	75.891	6.769	19.508	3.047	0.025
27	74.282	6.715	19.864	3.114	0.023
28	72.16	6.351	18.345	2.757	0.023
29	76.386	7.067	20.379	3.309	0.025
30	69.148	6.177	16.457	2.576	0.025
31	73.088	6.483	18.292	2.792	0.024
32	68.282	6.2	17.065	2.706	0.023
33	75.052	6.891	20.804	3.366	0.024
34	74.971	6.655	19.285	2.964	0.024
35	74.606	6.683	19.682	3.015	0.023
36	68.716	6.043	16.723	2.506	0.023
37	72.863	6.701	18.694	3.02	0.024
38	70.803	6.267	17.534	2.655	0.023
39	75.896	6.73	20.112	3.032	0.024
40	74.714	6.606	19.538	3.005	0.023
41	67.082	5.98	15.972	2.445	0.024
42	71.834	6.512	17.892	2.825	0.024
43	72.413	6.453	19.098	2.916	0.022
44	71.762	6.434	18.039	2.803	0.024
45	77.467	6.858	20.988	3.146	0.024
46	72.357	6.646	18.592	3.016	0.024
47	76.716	6.841	20.849	3.186	0.024
48	74.654	6.789	19.581	3.079	0.024
49	72.767	6.559	18.7	2.86	0.024
50	70.325	6.399	17.633	2.768	0.024
51	75.739	6.785	19.64	3.045	0.024
52	71.334	6.295	18.319	2.802	0.022
53	67.76	6.084	16.522	2.552	0.023
54	70.02	6.319	17.6	2.767	0.023
55	74.183	6.595	19.14	2.954	0.023
56	69.655	6.242	17.279	2.673	0.023
57	73.779	6.625	19.429	2.981	0.023
58	73.522	6.615	18.888	2.939	0.023
59	70.393	6.245	18.334	2.833	0.022
60	73.071	6.501	18.294	2.791	0.024
61	71.217	6.453	17.4	2.722	0.025
62	73.365	6.53	19.882	3.021	0.023
63	65.948	5.93	16.388	2.536	0.022
64	73.998	6.546	18.83	2.87	0.024
65	75.95	6.862	19.409	3.034	0.025
66	66.194	5.91	15.237	2.366	0.024
67	73.464	6.64	18.708	2.924	0.025
68	66.648	5.898	16.048	2.493	0.023
69	73.362	6.595	18.94	2.965	0.024
70	74.965	6.729	19.787	3.054	0.024
71	71.022	6.568	17.961	2.963	0.024
72	71.85	6.479	18.787	2.903	0.023
73	68.913	6.224	16.923	2.631	0.024
74	73.499	6.482	18.656	2.779	0.024
