MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
4:Ins:R:4	2.14E-05	8.55E-06	1.22E-05	3.15E-05	1.48E-05	1.25E-05	3.48E-05	6.80E-06
4:Ins:R:5	3.81E-05	1.38E-05	2.75E-05	6.11E-05	2.56E-05	2.94E-05	5.01E-05	1.60E-05
5:Ins:R:0	1.97E-04	4.11E-05	1.13E-04	2.88E-04	1.24E-04	1.43E-04	2.58E-04	1.23E-04
5:Ins:R:1	3.26E-04	1.16E-04	2.11E-04	4.67E-04	2.30E-04	2.09E-04	4.78E-04	1.92E-04
5:Ins:R:2	1.42E-05	6.98E-06	8.55E-06	1.81E-05	1.10E-05	9.45E-06	1.82E-05	4.32E-06
5:Ins:R:3	8.65E-06	2.63E-06	5.28E-06	1.31E-05	5.03E-06	6.88E-06	1.35E-05	5.26E-06
5:Ins:R:4	1.12E-05	3.03E-06	8.13E-06	2.64E-05	6.55E-06	7.50E-06	1.44E-05	4.93E-06
5:Ins:R:5	6.02E-06	1.00E-06	5.08E-06	8.44E-06	4.99E-06	6.00E-06	1.54E-05	5.70E-06
2:Del:M:1	3.02E-04	1.11E-04	2.46E-04	4.38E-04	2.10E-04	2.43E-04	4.25E-04	1.81E-04
3:Del:M:1	4.76E-04	2.77E-04	3.66E-04	4.47E-04	3.37E-04	3.62E-04	5.12E-04	2.17E-04
3:Del:M:2	2.21E-04	1.30E-04	1.83E-04	2.34E-04	1.70E-04	1.77E-04	2.46E-04	1.33E-04
4:Del:M:1	2.05E-04	9.82E-05	1.80E-04	2.28E-04	1.70E-04	1.52E-04	2.62E-04	9.96E-05
4:Del:M:2	1.37E-04	7.18E-05	1.07E-04	1.83E-04	9.76E-05	1.25E-04	1.91E-04	8.48E-05
4:Del:M:3	4.52E-05	2.49E-05	4.10E-05	6.26E-05	4.36E-05	4.04E-05	6.31E-05	2.92E-05
5:Del:M:1	4.17E-04	1.67E-04	3.21E-04	5.43E-04	3.31E-04	3.31E-04	5.63E-04	2.58E-04
5:Del:M:2	2.13E-04	6.21E-05	1.71E-04	2.91E-04	1.45E-04	1.82E-04	3.36E-04	1.19E-04
5:Del:M:3	9.09E-05	3.32E-05	7.31E-05	1.17E-04	7.89E-05	7.07E-05	1.41E-04	4.95E-05
5:Del:M:4	3.44E-05	8.62E-06	2.66E-05	3.63E-05	2.27E-05	2.55E-05	4.37E-05	1.62E-05
5:Del:M:5	3.76E-05	1.19E-05	2.16E-05	3.68E-05	2.30E-05	2.30E-05	3.87E-05	1.35E-05
