MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	6.804859178966267e-08	7.09184506858125e-08	2.416145206396443e-07	4.309215049545113e-08	2.0287077112635182e-08	9.111521365200124e-08	9.794642528202296e-08	1.4769334207150622e-07
1:Del:C:1	0.004247470412626021	0.029563602734865448	0.003996904426108082	0.01963841512072072	0.02282971546072157	0.10345594646276236	0.038510148570232515	0.032697499948171706
1:Del:C:2	0.0016626303841816884	0.0062745643950560875	0.0010561596057716755	0.005207615353011439	0.007366462738324344	0.022148988193020074	0.009465127775150432	0.01884262160593194
1:Del:C:3	0.0007542226207115675	0.0026378510599127047	0.000890055055350178	0.002010195197546447	0.0028088397842024894	0.011984067001590232	0.0040301075569715095	0.008178797499150701
1:Del:C:4	0.00039401282620357084	0.0017214569286266475	0.000261204049675294	0.001663342683461094	0.002221830959284966	0.006383061397302298	0.002795857640745229	0.005412946941311228
1:Del:C:5	0.001302862622362127	0.0022472901873223567	0.0013255335839249505	0.0018821009748335475	0.001991400123006224	0.004278023621399784	0.0027204746741934507	0.0030383279443361856
1:Del:T:0	6.804859178966267e-08	7.09184506858125e-08	2.416145206396443e-07	4.309215049545113e-08	2.0287077112635182e-08	9.111521365200124e-08	9.794642528202296e-08	1.4769334207150622e-07
1:Del:T:1	0.0043806683682935275	0.011858222229140456	0.0014162522233539827	0.01023935856672476	0.014518507769236763	0.08733002726109662	0.02171556196266772	0.03535461925203577
1:Del:T:2	0.0021921918851203993	0.008483816839196565	0.002964946318455265	0.006308411793807815	0.008917210725817864	0.03382908682628445	0.013120000049054649	0.022520688517111247
1:Del:T:3	0.0017842926105906276	0.0070619948928874856	0.0006589474818010237	0.0059335793584586296	0.007842164628219687	0.03132934682732596	0.011025153085922057	0.018406336938629073
1:Del:T:4	0.001874101369027917	0.0048002451046085725	0.001987281660018022	0.004566139565651081	0.006563245341024809	0.026882365666878762	0.008899542310657203	0.024558699172891656
1:Del:T:5	0.15706448867675574	0.16822366656571824	0.3319625157898955	0.13026582150267382	0.07031914012806707	0.13248572234967615	0.19021067777560047	0.16546003088782282
1:Ins:C:0	0.0012446722425280559	0.0034913793489119564	0.0009603304525959222	0.002781333744041624	0.003753084457709503	0.010827362446519136	0.005332412683992171	0.007895126753543319
1:Ins:C:1	0.0005490235676517575	0.0024357921267484386	0.0006491505305681866	0.00215428299316496	0.0027280165994027525	0.004937921516051037	0.002814480031390782	0.0023990748454822434
1:Ins:C:2	0.0006313616921593954	0.001744850717882984	0.00013044962944054787	0.0015313130051940928	0.0026798644157262465	0.002582303934598597	0.0021786123707376267	0.0043499507873236455
1:Ins:C:3	0.00046409686728050376	0.0010926306263218087	0.0001027679906245377	0.0011378655689783747	0.002543882731523512	0.0014197127183795837	0.0012900614543017675	0.003121737711977815
1:Ins:C:4	0.0005785895577416164	0.001401890852828297	0.00012025459135008055	0.001217551373963384	0.0019028895483795107	0.0045821726176182714	0.002013349766438263	0.0052841110650876325
