MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
3:Ins:R:3	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
3:Ins:R:4	6.44E-06	6.19E-06	4.00E-06	9.28E-06	6.24E-06	4.57E-06	6.08E-06	1.07E-05	6.45E-06	6.74E-06
3:Ins:R:5	5.39E-05	3.44E-05	2.46E-05	5.77E-05	3.75E-05	2.75E-05	2.79E-05	7.15E-05	2.99E-05	5.38E-05
4:Ins:R:0	9.74E-05	8.55E-05	7.27E-05	1.67E-04	8.92E-05	8.60E-05	8.55E-05	1.73E-04	1.28E-04	1.60E-04
4:Ins:R:1	1.70E-04	1.86E-04	1.50E-04	2.75E-04	1.54E-04	1.61E-04	1.65E-04	3.03E-04	2.19E-04	2.16E-04
4:Ins:R:2	1.58E-05	1.33E-05	9.49E-06	2.55E-05	1.59E-05	1.61E-05	1.34E-05	3.04E-05	1.63E-05	2.51E-05
4:Ins:R:3	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
4:Ins:R:4	1.76E-05	1.36E-05	9.43E-06	2.85E-05	1.49E-05	1.13E-05	1.02E-05	4.28E-05	2.00E-05	2.69E-05
4:Ins:R:5	2.92E-05	3.65E-05	1.93E-05	7.20E-05	3.02E-05	2.53E-05	2.26E-05	4.73E-05	2.93E-05	4.69E-05
5:Ins:R:0	1.77E-04	1.37E-04	9.73E-05	3.31E-04	1.30E-04	1.23E-04	1.17E-04	2.47E-04	1.61E-04	2.19E-04
5:Ins:R:1	2.61E-04	2.40E-04	2.09E-04	4.99E-04	2.51E-04	2.21E-04	1.95E-04	5.21E-04	3.01E-04	3.83E-04
5:Ins:R:2	1.52E-05	1.01E-05	6.76E-06	1.61E-05	1.10E-05	6.65E-06	1.05E-05	2.65E-05	7.81E-06	1.61E-05
5:Ins:R:3	7.52E-06	7.08E-06	3.97E-06	1.11E-05	8.27E-06	5.38E-06	4.91E-06	1.72E-05	8.03E-06	1.13E-05
5:Ins:R:4	5.87E-06	6.18E-06	4.71E-06	3.22E-05	7.47E-06	9.57E-06	7.43E-06	1.58E-05	5.23E-06	9.49E-06
5:Ins:R:5	7.62E-06	6.90E-06	4.07E-06	1.02E-05	5.71E-06	6.17E-06	5.51E-06	1.31E-05	1.00E-05	1.27E-05
2:Del:M:1	3.11E-04	2.48E-04	2.29E-04	4.54E-04	2.55E-04	2.47E-04	2.01E-04	5.12E-04	2.95E-04	4.01E-04
3:Del:M:1	5.09E-04	3.76E-04	2.87E-04	4.56E-04	3.93E-04	3.65E-04	3.10E-04	6.69E-04	4.42E-04	5.96E-04
3:Del:M:2	2.50E-04	1.85E-04	1.27E-04	1.72E-04	2.21E-04	1.65E-04	1.54E-04	3.69E-04	2.09E-04	2.35E-04
4:Del:M:1	2.37E-04	1.77E-04	9.99E-05	1.77E-04	1.88E-04	1.78E-04	1.66E-04	3.69E-04	1.40E-04	1.77E-04
4:Del:M:2	1.53E-04	1.02E-04	8.77E-05	2.02E-04	1.26E-04	1.15E-04	1.06E-04	2.62E-04	1.68E-04	2.20E-04
4:Del:M:3	6.84E-05	3.73E-05	2.65E-05	5.83E-05	3.86E-05	3.77E-05	4.01E-05	8.28E-05	3.82E-05	4.12E-05
5:Del:M:1	4.38E-04	3.75E-04	3.19E-04	5.52E-04	3.41E-04	2.94E-04	3.32E-04	6.39E-04	4.10E-04	5.10E-04
5:Del:M:2	2.36E-04	1.60E-04	1.49E-04	2.86E-04	1.74E-04	1.49E-04	1.51E-04	3.22E-04	2.11E-04	3.23E-04
5:Del:M:3	1.13E-04	8.96E-05	7.08E-05	9.23E-05	8.22E-05	6.41E-05	7.10E-05	1.59E-04	9.07E-05	1.07E-04
5:Del:M:4	3.30E-05	3.46E-05	1.84E-05	3.49E-05	2.52E-05	2.26E-05	2.24E-05	5.32E-05	2.72E-05	3.59E-05
5:Del:M:5	3.65E-05	2.01E-05	1.48E-05	3.58E-05	2.87E-05	2.10E-05	2.20E-05	5.49E-05	2.27E-05	2.85E-05
