MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
1:Del:C:1	0.00021696986884482306	0.028705459801560196	0.0049526718844598834	0.06391260401074467	0.08449157756282716
1:Del:C:2	4.3671177508589705e-05	0.009004948970188185	0.0008679177453419354	0.01568527390982648	0.024255370268342666
1:Del:C:3	6.505765033446504e-06	0.0032777984572482577	0.0009458348177769682	0.007206692809531285	0.011073433097171417
1:Del:C:4	1.9572321568335008e-05	0.002880521585084734	6.055016909605292e-05	0.004818567114780337	0.007133336351456855
1:Del:C:5	0.0011719029150244371	0.002041846764436639	0.0011297850677191752	0.0032626214777699324	0.003978274601638364
1:Del:T:0	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
1:Del:T:1	0.0004215135637949302	0.0136189599323978	0.001128625397306177	0.03817982446975345	0.06376295280657986
1:Del:T:2	0.00011110130403184657	0.010271042490575843	0.003374733053512708	0.022187770021538347	0.03228563395870263
1:Del:T:3	6.35043663215453e-05	0.009900241026385271	0.00022686184991677647	0.01998187792344592	0.028829458337122083
1:Del:T:4	0.00011805755371766198	0.0076599983547561415	0.002030206056363405	0.01652084757406218	0.026954198267266298
1:Del:T:5	0.16645947782128254	0.11033847037018749	0.3143897440615813	0.11786271493100099	0.11923438216465
1:Ins:C:0	0.0006346844188420046	0.004096630277189523	0.0006649588834845781	0.00782763066567876	0.010916430962002071
1:Ins:C:1	6.0786720039887e-05	0.0034774894697725185	0.0007069871242735488	0.0045029842993931255	0.004511367863681979
1:Ins:C:2	4.987661596351113e-05	0.003110464261492697	1.5730105547853992e-05	0.00371404280711811	0.004451959298678675
1:Ins:C:3	3.291023870073689e-05	0.002512163274137646	8.212748804032469e-05	0.0029765464751049823	0.0036114213684140086
1:Ins:C:4	2.121436931667765e-05	0.0021546957738585244	8.407517729636568e-05	0.003977166510479178	0.006151228599578949
1:Ins:C:5	0.0005087234978950503	0.01752552679587048	0.00011463379663685362	0.022479413710926672	0.031113781568392476
1:Ins:T:0	0.003326754866265731	0.008538002480014633	0.00015072966320503513	0.012031561054038029	0.015944757117766037
1:Ins:T:1	0.0005505047860809387	0.012931117429263821	0.0006581350969798985	0.020344921120511273	0.023437841701454628
1:Ins:T:2	0.0007002216265350455	0.0063679975790492645	0.002352696395228719	0.009408254450173473	0.011975283907319435
1:Ins:T:3	0.0005035528166387675	0.004834346208697938	0.001186950015556826	0.009742009205193872	0.01547390533554244
1:Ins:T:4	0.00040647823463995806	0.006238335094864386	0.0007134035414333821	0.009629444122744699	0.012727261849797332
1:Ins:T:5	0.6484051679769276	0.5385719009882772	0.29292402441013443	0.2935966794784504	0.05076917079026556
2:Del:R:0	0.13575345306634334	0.04044883819430445	0.32080966243712533	0.06769701099637195	0.08959967545921182
2:Del:R:1	1.4231475915232766e-05	0.00115808132722954	0.0002875891514708886	0.002230483217183729	0.003653089731022743
2:Del:R:2	1.6210872539326865e-06	0.0002830223588796049	0.0004102683382987743	0.0008777479759520223	0.001354535235587178
2:Del:R:3	2.000406717760228e-05	1.927468303906462e-05	0.00047331157774713797	3.8709270441246916e-05	5.7250751750278254e-05
2:Del:R:4	4.6326854395483046e-08	4.726823965916926e-05	4.448473351683297e-06	8.869288614546541e-05	0.00016001689433707962
2:Del:R:5	0.0005935899985664582	0.0005719556165034187	2.5191678370461746e-05	0.0005522206985444138	0.000554437474692639
3:Del:R:0	0.0043941152072998054	0.007006429132574763	0.009072545703002874	0.010233477820765537	0.014796262274770907
3:Del:R:1	0.00017708799874090352	0.0014820180147346726	0.0009924929966810255	0.0022487448947882674	0.002495677198940195
3:Del:R:2	3.0004094596184156e-06	0.00038069409292838043	7.703385522300948e-06	0.00044050191771101844	0.0007512960462298301
3:Del:R:3	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
3:Del:R:4	4.3041588330420125e-08	7.434680200025735e-05	1.9728957974688572e-07	0.00011600229341794766	0.00015511255298339863
3:Del:R:5	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
4:Del:R:0	0.00044039580488465513	0.005382239363169408	0.002534009097792537	0.00962472758046091	0.014825884760481835
4:Del:R:1	1.532579548360469e-06	0.000355402875362262	0.0001362516392344249	0.0005803710916597322	0.0008951830001881631
