MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
CG>TA	1.10E-07	1.68E-07	1.47E-07	1.95E-07	2.19E-07	7.77E-09	1.38E-07	2.17E-09	2.79E-08	1.64E-07	1.02E-07	1.52E-07	1.05E-07	1.55E-07	1.32E-07
CG>TC	3.49E-04	9.88E-04	5.65E-04	6.70E-04	6.34E-04	3.00E-05	3.47E-04	1.47E-04	7.61E-05	9.26E-04	3.85E-04	4.85E-04	5.82E-04	6.48E-04	4.72E-04
CG>TT	1.08E-07	1.68E-07	6.65E-05	2.40E-05	4.39E-05	6.63E-09	1.38E-07	2.26E-09	2.78E-08	1.11E-04	2.87E-05	2.78E-05	1.02E-07	2.38E-04	8.25E-06
CT>AA	1.36E-04	1.01E-03	7.51E-04	6.76E-04	6.90E-04	8.62E-04	5.11E-04	2.92E-04	1.24E-05	4.87E-04	6.97E-04	5.85E-04	4.33E-04	5.16E-04	6.70E-04
CT>AC	1.12E-04	7.26E-04	9.28E-04	5.72E-04	3.78E-04	9.04E-04	8.15E-05	1.07E-03	4.90E-05	5.39E-04	5.11E-04	4.51E-04	4.18E-04	4.56E-04	5.29E-04
CT>AG	2.46E-04	8.15E-04	5.51E-04	6.85E-04	5.89E-04	4.20E-04	1.24E-04	5.28E-09	2.31E-05	5.28E-04	4.43E-04	3.72E-04	2.01E-04	5.34E-04	5.22E-04
CT>GA	3.84E-04	1.28E-04	3.03E-04	2.75E-04	6.13E-04	2.90E-04	1.09E-04	3.94E-09	1.82E-08	3.49E-04	2.14E-04	5.06E-04	1.23E-04	2.41E-04	3.10E-04
CT>GC	2.22E-05	3.63E-05	1.05E-04	1.21E-04	1.53E-04	1.45E-04	7.61E-05	2.31E-09	2.43E-05	6.44E-05	6.71E-05	5.11E-05	3.49E-05	4.43E-05	1.25E-04
CT>GG	6.39E-04	1.59E-03	1.76E-03	1.37E-03	1.22E-03	6.58E-09	8.63E-04	5.58E-09	1.77E-05	1.72E-03	1.11E-03	1.23E-03	7.43E-04	1.83E-03	1.00E-03
CT>TA	1.25E-03	1.01E-03	1.17E-03	1.25E-03	8.67E-04	2.60E-04	4.09E-04	5.17E-09	8.66E-09	9.52E-04	1.48E-03	1.23E-03	1.01E-03	1.38E-03	7.46E-04
CT>TC	5.07E-04	6.27E-04	8.07E-04	7.70E-04	4.64E-03	2.25E-04	9.37E-04	5.69E-09	2.87E-05	8.01E-04	6.53E-04	1.01E-03	9.05E-04	8.96E-04	1.44E-03
CT>TG	2.18E-04	1.87E-04	5.48E-04	3.64E-04	5.22E-04	2.06E-04	4.62E-04	4.05E-09	5.03E-05	3.87E-04	4.66E-04	5.02E-04	2.02E-04	5.55E-04	3.13E-04
GC>AA	1.11E-03	1.45E-03	1.04E-03	1.41E-03	1.09E-03	3.43E-04	6.05E-03	1.39E-04	2.15E-04	1.21E-03	1.52E-03	1.07E-03	9.86E-04	9.08E-04	6.64E-04
GC>AG	1.24E-03	2.02E-03	2.67E-03	3.63E-03	1.38E-03	2.20E-04	1.96E-03	2.44E-04	4.62E-05	1.34E-03	1.15E-03	1.98E-03	1.45E-03	1.33E-03	1.35E-03
GC>AT	1.71E-03	9.82E-04	8.19E-04	1.35E-03	1.27E-03	2.14E-04	1.78E-03	5.42E-09	5.82E-06	1.60E-03	9.89E-04	1.96E-03	6.09E-04	8.10E-04	8.98E-04
GC>CA	8.16E-04	7.47E-04	1.26E-03	1.75E-03	8.48E-04	1.46E-04	8.03E-04	2.11E-04	2.22E-05	8.64E-04	1.07E-03	1.13E-03	5.87E-04	9.47E-04	5.26E-04
GC>CG	1.10E-07	1.68E-07	1.47E-07	1.95E-07	2.19E-07	7.77E-09	1.38E-07	2.17E-09	2.79E-08	1.64E-07	1.02E-07	1.52E-07	1.05E-07	1.55E-07	1.32E-07
GC>TA	2.17E-04	5.31E-04	7.77E-04	1.49E-03	9.04E-04	1.43E-04	1.09E-03	1.43E-04	5.84E-06	7.00E-04	7.57E-04	9.07E-04	3.27E-04	6.18E-04	3.74E-04
TA>AT	1.20E-03	1.06E-03	1.39E-03	1.28E-03	1.24E-03	6.09E-09	7.73E-04	1.40E-04	1.82E-05	1.13E-03	8.02E-04	1.28E-03	6.88E-04	7.39E-04	1.07E-03
TA>CG	1.08E-07	1.69E-07	4.91E-05	1.91E-07	5.21E-05	6.35E-09	1.39E-07	2.29E-09	2.86E-08	1.18E-04	3.78E-05	1.28E-05	1.03E-07	2.26E-04	1.65E-05
TA>CT	9.22E-04	7.90E-04	6.39E-04	8.65E-04	9.62E-04	5.99E-09	1.36E-03	1.43E-04	4.54E-05	7.69E-04	1.34E-03	1.45E-03	4.89E-04	7.11E-04	5.84E-04
TA>GC	1.10E-07	1.68E-07	1.47E-07	1.95E-07	2.19E-07	7.77E-09	1.38E-07	2.17E-09	2.79E-08	1.64E-07	1.02E-07	1.52E-07	1.05E-07	1.55E-07	1.32E-07
