Iteration	L1	L1 %	L2	L2 %	KL Divergence
145	159.233	15.568	56.245	10.454	0.052
146	157.244	15.293	54.81	10.125	0.053
147	156.284	15.216	53.73	10.026	0.052
148	156.448	15.239	54.702	10.099	0.052
149	158.56	15.478	55.582	10.262	0.053
150	162.74	15.879	56.141	10.506	0.055
151	160.654	15.398	56.132	10.195	0.052
152	161.588	15.853	56.953	10.618	0.054
153	157.942	15.457	55.147	10.317	0.052
154	163.619	15.866	57.899	10.574	0.054
155	166.872	16.037	60.898	10.957	0.052
156	160.179	15.597	57.234	10.434	0.052
157	158.858	15.488	55.917	10.432	0.053
158	160.069	15.553	55.552	10.261	0.053
159	156.191	15.188	56.134	10.251	0.05
160	156.284	15.311	54.829	10.3	0.053
161	164.072	15.795	59.572	10.64	0.051
162	150.942	14.833	51.37	9.7	0.052
163	165.469	15.973	59.092	10.761	0.053
164	159.719	15.405	56.043	10.108	0.053
165	156.022	14.982	54.984	9.978	0.05
166	157.469	15.262	55.313	10.228	0.052
167	168.709	16.196	60.636	10.981	0.054
168	160.919	15.687	56.067	10.432	0.052
169	155.693	15.272	53.597	9.998	0.053
170	163.666	15.767	59.18	10.613	0.052
171	162.357	15.491	57.792	10.291	0.051
172	159.833	15.515	57.005	10.414	0.053
173	151.69	14.884	52.146	9.739	0.052
174	165.002	16.072	59.075	10.959	0.054
175	163.276	15.905	57.173	10.546	0.054
176	157.846	15.302	55.246	10.175	0.052
177	162.011	15.537	58.089	10.419	0.051
178	159.804	15.315	56.073	10.078	0.051
179	160.006	15.352	57.026	10.219	0.052
180	164.666	16.026	59.432	10.786	0.054
181	159.309	15.445	55.073	10.098	0.053
182	156.636	15.233	55.418	10.17	0.052
183	153.86	15.048	52.027	9.723	0.052
184	162.204	15.864	58.377	10.77	0.054
185	148.495	14.661	50.784	9.597	0.051
186	160.384	15.446	56.913	10.41	0.053
187	161.299	15.644	56.663	10.361	0.054
188	161.999	15.608	57.631	10.504	0.052
189	156.495	15.2	54.423	10.055	0.052
190	156.126	15.242	55.216	10.233	0.052
191	154.067	14.917	53.131	9.774	0.052
192	162.661	15.911	58.166	10.866	0.055
193	155.717	15.182	54.089	10.037	0.051
194	153.063	15.099	53.779	10.369	0.053
195	159.604	15.465	56.199	10.17	0.051
196	160.422	15.521	55.909	10.243	0.052
197	161.928	15.721	57.843	10.499	0.054
198	156.621	15.321	54.118	10.299	0.052
199	162.095	15.679	58.193	10.564	0.052
200	152.476	14.76	52.475	9.589	0.05
201	154.314	15.081	53.65	10.053	0.052
202	172.292	16.342	61.132	10.77	0.056
203	164.714	15.842	57.426	10.499	0.054
204	160.23	15.57	55.028	10.194	0.055
205	157.461	15.083	54.802	9.859	0.051
206	159.214	15.606	56.738	10.597	0.054
207	161.652	15.562	58.221	10.448	0.051
208	159.444	15.347	54.844	9.939	0.054
209	166.931	16.118	58.953	10.745	0.055
210	161.46	15.698	56.438	10.294	0.052
211	161.531	15.541	58.237	10.526	0.052
212	158.193	15.554	55.171	10.361	0.054
213	162.309	15.657	57.276	10.421	0.052
214	160.383	15.649	56.526	10.372	0.054
215	161.262	15.44	56.351	10.088	0.052
216	160.299	15.545	56.827	10.414	0.053
217	157.04	15.188	55.103	10.071	0.052
218	154.141	14.994	52.594	9.764	0.053
219	158.35	15.412	55.593	10.256	0.052
220	157.504	15.326	54.815	10.188	0.053
221	155.018	14.808	53.635	9.571	0.05
222	152.513	14.982	52.664	9.944	0.052
223	162.069	15.798	59.118	10.906	0.054
224	163.293	15.737	57.398	10.421	0.054
225	164.164	15.996	57.423	10.651	0.055
226	160.908	15.596	56.571	10.333	0.052
227	159.762	15.411	55.262	10.137	0.053
