MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	6.634536297413913e-08	8.427804469258071e-08	2.3154887890621055e-07	2.5406591395080266e-08	5.2764642962519935e-08	7.983743376210786e-08	1.393345887066485e-07
1:Del:C:1	0.0009772687661760786	0.03889111860656846	0.003014298826734906	0.02141757519550952	0.02905155756939532	0.10220943615331081	0.03364778303754334
1:Del:C:2	0.000442148421591569	0.008298692433586713	0.0006436026953601911	0.007710393347884113	0.006630930730697706	0.021321739201041155	0.018657695638476118
1:Del:C:3	0.0001254907871856492	0.003986115354641226	0.0007675599352518905	0.0028330689625038143	0.002992367752698147	0.011940133512396487	0.006585948852357262
1:Del:C:4	0.00010202874705644435	0.002261476809369235	7.144337586160286e-05	0.0023903835403187713	0.001902433785578389	0.0057183132647372166	0.006295673936585873
1:Del:C:5	0.0012203138367247698	0.0026401815384465184	0.0012062513019834313	0.0019192149251534287	0.002219819813063933	0.003951328602432516	0.0033083545152346565
1:Del:T:0	6.634536297413913e-08	8.427804469258071e-08	2.3154887890621055e-07	2.5406591395080266e-08	5.2764642962519935e-08	7.983743376210786e-08	1.393345887066485e-07
1:Del:T:1	0.0009889673938298013	0.016930892128014515	0.0008261238566128756	0.013009485756527158	0.012300577678728249	0.08284559030352903	0.03483982673328825
1:Del:T:2	0.0005188004287777967	0.011363829708698795	0.0025012745527991697	0.009351938091634657	0.008389070132181344	0.03316653594495158	0.02288289714946761
1:Del:T:3	0.0004460067472221321	0.009477395709175659	0.0002518039863293269	0.008614679755603743	0.007866979080564157	0.029641223838186983	0.019061197279161897
1:Del:T:4	0.0004641619842155326	0.007116105438991035	0.001653324292791497	0.007076897376499744	0.004803900606802678	0.024575032189582763	0.025116407581040633
1:Del:T:5	0.16309695904021076	0.17927802470761356	0.3200084458860349	0.08320539582258363	0.14111618360526818	0.09507030754341765	0.19493228069973526
1:Ins:C:0	0.0007640267300583882	0.00460006683126139	0.0007252499438712148	0.0036558633716959102	0.0037309317890055448	0.010866286174910911	0.0077849336247536914
1:Ins:C:1	0.00014843034836182546	0.002825668430130514	0.000575310453371284	0.0028723770622676977	0.0026414239424377025	0.0050808639261356705	0.00231593367542804
1:Ins:C:2	0.00012521711103058878	0.001974776718692002	6.091557317171545e-05	0.002798569782176418	0.0020499886965113087	0.003125179201379318	0.003973899615945042
1:Ins:C:3	0.00015320229989127047	0.0012325175735481081	0.00010063448752933072	0.0026268294343072753	0.001338302140274919	0.0018075446788045095	0.00338625240364898
1:Ins:C:4	0.00016040547978763998	0.0016587584722523923	8.344475370472889e-05	0.0019391737309951166	0.001365745578110255	0.004670005915461342	0.005508109843399461
1:Ins:C:5	0.0010541049586990897	0.009839570078838376	0.00038081909566954576	0.017000083214967987	0.009630649671429214	0.0194510367555607	0.03196066751671848
1:Ins:T:0	0.0035523783421042314	0.006897921805931953	0.000335058011585984	0.008733508617459243	0.007287025955219527	0.01751389452247738	0.010511787228106083
1:Ins:T:1	0.0009201163823537158	0.011385512426689543	0.0005700324471736338	0.01222010454358501	0.010915013329135262	0.02506587854174063	0.011200089795880943
1:Ins:T:2	0.0009663234516361723	0.0062380181077231495	0.0023520636211846542	0.006218119716066938	0.005708926523124161	0.010229355003966469	0.007801879100998207
1:Ins:T:3	0.0007203021586903355	0.004175209326453327	0.0013731560181864022	0.004986276730692449	0.0033553844890026737	0.01584329029743588	0.011859333975944422
1:Ins:T:4	0.0005805864286036606	0.004873269536394467	0.0006868754039644298	0.005922819901782137	0.004122078239044937	0.012745715067390547	0.009651950956194803
1:Ins:T:5	0.6424256267919664	0.4291084427983616	0.26263668086488756	0.5877220150620045	0.541927397584386	0.11851926341907179	0.06976771442046033
2:Del:R:0	0.13464514079217885	0.10895497226898414	0.34950371751664483	0.04260826533010165	0.07262739941033229	0.0944650604323146	0.15593158245365596
2:Del:R:1	5.519566070773869e-05	0.0011258372135385028	0.00020918619394801763	0.0012727082817805934	0.0008249991493025993	0.003358863407994841	0.0028170379860564918
2:Del:R:2	5.280375377797179e-06	0.0004982607350120776	0.00034973962678246394	0.00022308406365827821	0.0003469219159332322	0.0019031925568294087	0.0007590550081420633
2:Del:R:3	2.3370640955977307e-05	3.6051992820823225e-05	0.0004907776236502973	3.604059458674359e-05	2.5984338270295544e-05	5.067650948392776e-05	0.00012079498117613568
2:Del:R:4	2.3763459409108643e-06	4.98812162464881e-05	2.7146290106855967e-06	5.0179961222458686e-05	3.557310295705241e-05	0.00016288053844868105	0.00016448468025607926
2:Del:R:5	0.0006061297168616708	0.0005285667255840456	9.508925822156536e-05	0.0005760838893535672	0.0005074737812615724	0.0004907077230356263	0.000940322588208716
3:Del:R:0	0.004510959102113316	0.008490806579664287	0.009178490342677573	0.0068348195134944265	0.007174441063387231	0.009658760161021036	0.01788631669866583
3:Del:R:1	0.0002153290773778146	0.0011299070740687285	0.0010432529373790372	0.0014035419105867647	0.0010112980326138982	0.0013337593071965504	0.0031073599162255573
3:Del:R:2	2.932479949343198e-05	0.0002443316269603488	8.093025618511609e-06	0.00032886190793018444	0.0002428284969036613	0.0006191486014827926	0.0005720992341646028
3:Del:R:3	6.634536297413913e-08	8.427804469258071e-08	2.3154887890621055e-07	2.5406591395080266e-08	5.2764642962519935e-08	7.983743376210786e-08	1.393345887066485e-07
3:Del:R:4	3.5021334328240233e-06	5.766733433906442e-05	2.2410867991067987e-06	5.7693385058267984e-05	4.774447741537697e-05	7.105258586604094e-05	0.00016770863759344435
3:Del:R:5	6.634536297413913e-08	8.427804469258071e-08	2.3154887890621055e-07	2.5406591395080266e-08	5.2764642962519935e-08	7.983743376210786e-08	1.393345887066485e-07
4:Del:R:0	0.0007084111875460946	0.004611948912581373	0.0026987558466610773	0.005749907663163697	0.004366359778609643	0.010496006656748725	0.013277904000129155
4:Del:R:1	1.5085017746884973e-05	0.0002824794881234882	0.00011247345864341931	0.00038570446352428856	0.00019932865711331976	0.0005353385478258183	0.0009246077699255546
4:Del:R:2	8.293266655120822e-06	0.00011376386583405331	5.431344105409981e-06	0.00017164304925922964	0.00011374484413108616	8.617449088930398e-05	0.00019461443290798224
4:Del:R:3	6.634536297413913e-08	8.427804469258071e-08	2.3154887890621055e-07	2.5406591395080266e-08	5.2764642962519935e-08	7.983743376210786e-08	1.393345887066485e-07
