MutationType	ID83A
1:Del:C:0	8.380020679615697e-08
1:Del:C:1	0.01089071762054313
1:Del:C:2	0.0025703500966996183
1:Del:C:3	0.0012275360686895902
1:Del:C:4	0.0007298469403380631
1:Del:C:5	0.0014757832862054205
1:Del:T:0	8.380020679615697e-08
1:Del:T:1	0.0062113787352927954
1:Del:T:2	0.003744447335682777
1:Del:T:3	0.0031277562169994785
1:Del:T:4	0.0026072984666833023
1:Del:T:5	0.1770208716359254
1:Ins:C:0	0.001718137000516275
1:Ins:C:1	0.0009013575445233748
1:Ins:C:2	0.0006381150339815129
1:Ins:C:3	0.00045799446119313547
1:Ins:C:4	0.0005820573002605478
1:Ins:C:5	0.003664516103268628
1:Ins:T:0	0.004323046518363511
1:Ins:T:1	0.0036580677321335717
1:Ins:T:2	0.002322521959895426
1:Ins:T:3	0.001898835997550301
1:Ins:T:4	0.0018029848279777026
1:Ins:T:5	0.5558065768529992
2:Del:R:0	0.14513041264466964
2:Del:R:1	0.0003815703572460864
2:Del:R:2	0.00018409953172182148
2:Del:R:3	7.755604058336561e-05
2:Del:R:4	1.6294345738966675e-05
2:Del:R:5	0.000503638489285724
3:Del:R:0	0.0057214683155405325
3:Del:R:1	0.0005192069577446238
3:Del:R:2	7.420413885397297e-05
3:Del:R:3	8.380020679615697e-08
3:Del:R:4	1.6187698541879555e-05
3:Del:R:5	8.380020679615697e-08
4:Del:R:0	0.0019487341020602426
4:Del:R:1	9.052131330523855e-05
4:Del:R:2	3.1560245057639975e-05
4:Del:R:3	8.380020679615697e-08
4:Del:R:4	8.380020679615697e-08
4:Del:R:5	8.380020679615697e-08
5:Del:R:0	0.004793742986651518
5:Del:R:1	1.5304013150106632e-05
5:Del:R:2	8.380020679615697e-08
5:Del:R:3	8.380020679615697e-08
5:Del:R:4	8.380020679615697e-08
5:Del:R:5	8.380020679615697e-08
2:Ins:R:0	0.002995308365623385
2:Ins:R:1	0.000915357294231735
2:Ins:R:2	0.0005827121866161143
2:Ins:R:3	0.00019819077764875924
2:Ins:R:4	0.00047199172594671404
2:Ins:R:5	0.02140527030757974
3:Ins:R:0	0.0005807462795224578
3:Ins:R:1	0.0007436957338830211
3:Ins:R:2	0.00010721937188299736
3:Ins:R:3	8.380020679615697e-08
3:Ins:R:4	1.4907862147350705e-05
3:Ins:R:5	0.00019953162973423345
4:Ins:R:0	0.0004403350390457804
4:Ins:R:1	0.0009148915843962661
4:Ins:R:2	4.604915952391374e-05
4:Ins:R:3	8.380020679615697e-08
4:Ins:R:4	4.595769079558307e-05
4:Ins:R:5	0.00012269924818492737
5:Ins:R:0	0.0008521794481000536
5:Ins:R:1	0.0014155058917244552
5:Ins:R:2	3.0463253066531455e-05
5:Ins:R:3	1.5227825042809216e-05
5:Ins:R:4	3.0112837179488056e-05
5:Ins:R:5	1.4603179817862278e-05
2:Del:M:1	0.0020719083557368075
3:Del:M:1	0.009318827144548493
3:Del:M:2	0.001663644679278934
4:Del:M:1	0.001398065293205399
4:Del:M:2	0.001832290679752405
4:Del:M:3	0.00021301553283270964
5:Del:M:1	0.002825924721857312
5:Del:M:2	0.0010515262283437208
5:Del:M:3	0.00041103307398648436
5:Del:M:4	9.22430160314349e-05
5:Del:M:5	9.277626416975559e-05
