MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	7.418471460979575e-08	3.973892262070125e-08	1.808128894234618e-07	8.078697690668732e-08	2.2742985609502672e-07	2.1628259265322507e-07	7.60271364098341e-08	4.206784744863842e-08	1.5033654125902332e-08	6.098673202578431e-08	1.8310665325097846e-08	1.575619003387212e-07	1.5505755310893384e-07	1.3281706669904427e-07	1.0429954263908558e-07
1:Del:C:1	0.012326302846023287	0.009263751481557368	0.019103940834066694	0.030886470672946587	0.019498661187869096	0.022936503889843526	0.14419225051475137	0.027581005864674355	0.012453238334517057	0.022540803540848586	0.017484681455946748	0.02767631540220674	0.04795963773994676	0.02274124672910166	0.023666974933862106
1:Del:C:2	0.0036402059720090775	0.003477351108001609	0.006479505142254222	0.006386816136554866	0.008534453268975306	0.009905163621053798	0.023702874616903603	0.006448813702004485	0.004221755659394681	0.00777683834910209	0.005740040773234238	0.014957220998402299	0.016983847407943405	0.0074833704578881974	0.007164038717031897
1:Del:C:3	0.0016683004770806692	0.0013535537544047084	0.002883040820468574	0.002698429551580773	0.0037931725432890635	0.0031515141868698037	0.015121504440144495	0.0026076945576117396	0.0015380148249387402	0.003850533630933162	0.003099856640862562	0.006554954443223814	0.004912346902252522	0.0036218551418215686	0.00331008263272678
1:Del:C:4	0.0011648658602962261	0.0008450229754909737	0.0019024819607288896	0.002370233238594501	0.0021647207306846857	0.0031800500800926762	0.006188857237576151	0.0018286084940087835	0.0011871990267756961	0.0015060408216204183	0.001684660363655332	0.0037230654205557255	0.0057782944087772245	0.002246454758001062	0.001998960882136804
1:Del:C:5	0.001764441446498339	0.0015725070401594202	0.003129975962731038	0.0023009405508587887	0.004167987213426336	0.004178361664556956	0.0031790749284082453	0.0021599318846445524	0.0015104453998469063	0.002888684073172891	0.002187574843182599	0.004246154984708997	0.0042681831351566585	0.0029824680355047236	0.0027089272282736004
1:Del:T:0	7.418471460979575e-08	3.973892262070125e-08	1.808128894234618e-07	8.078697690668732e-08	2.2742985609502672e-07	2.1628259265322507e-07	7.60271364098341e-08	4.206784744863842e-08	1.5033654125902332e-08	6.098673202578431e-08	1.8310665325097846e-08	1.575619003387212e-07	1.5505755310893384e-07	1.3281706669904427e-07	1.0429954263908558e-07
1:Del:T:1	0.00886816089004748	0.006814139116342949	0.010329432219539754	0.01315250127534965	0.013554949671370362	0.015503779414621313	0.11249389053660785	0.01161402224748489	0.00852517639696157	0.0192754490501336	0.014236748749934885	0.030569110881611152	0.028333543969660036	0.012889653337505094	0.01391899624888674
1:Del:T:2	0.005752070556442976	0.0037028349606929296	0.007948961099701193	0.010235790057512503	0.010768526097716162	0.012677602121811841	0.04208461286951179	0.008231766063805308	0.005026416121382528	0.009573929363114348	0.007299113263189643	0.017264121915823796	0.022228357096039965	0.009624236773455986	0.009169603493488939
1:Del:T:3	0.004724004411675932	0.0035010583808155146	0.006146367251763994	0.007854769267614638	0.007688665665843793	0.009185398329620875	0.0378265998370095	0.007270498042495507	0.004801138621011381	0.00838465289282774	0.006670796823733504	0.012004927811889221	0.017632567205961715	0.007380096150398035	0.008067013024045536
1:Del:T:4	0.004203081678297479	0.0027797375591680764	0.006773640367415348	0.005745188393220264	0.010882217979775958	0.011266649638302094	0.027756952670084704	0.004946572362201672	0.0040206676396946734	0.00689003190605133	0.005592701402008525	0.01814968198206222	0.017265098171999105	0.007790649215170982	0.006401414037908067
1:Del:T:5	0.15743653894737833	0.11979826673627085	0.2633187253387607	0.21212624642588296	0.2639855430510955	0.33967051636976686	0.10701444353002253	0.15406661376109512	0.07914114901596878	0.06097258013882433	0.02505850685944227	0.06962919309737366	0.3573403080553204	0.2102397062468604	0.2023424689696058
1:Ins:C:0	0.0023722665487856663	0.0014950638802960015	0.0037131715047683243	0.0038765844302669603	0.005837719196683624	0.0054243161604366355	0.011730205054017666	0.0028562483415590137	0.0020204403771226197	0.00559324864664417	0.0031392823719220554	0.009759401553465817	0.007513541677633071	0.0038324562115304084	0.004164593369770379
1:Ins:C:1	0.001235338571826083	0.001264236045639897	0.002021356201816674	0.002554666640858059	0.0019279492371456703	0.0022646225619775656	0.006557999998870796	0.0022014748205524074	0.0013887592111874486	0.002486339097766682	0.0022151776320906797	0.003175954317973557	0.002876755591308389	0.0023073229057589124	0.0024347899646066456
1:Ins:C:2	0.0011574336768131236	0.0009507595014500011	0.0016127568263938357	0.0013163834633490702	0.0017108845399957833	0.0023554151399103203	0.002538341787334435	0.0017485854811823348	0.0013362530058423662	0.002646474108200249	0.0022780290405217947	0.0038186214546247882	0.002353069748848319	0.0020349532151243306	0.0018209409410381277
1:Ins:C:3	0.000657687654875277	0.0008725292579974476	0.0013401419980491477	0.000884020282400618	0.0018610065737067697	0.0015154078730147558	0.0010181695902850257	0.0008473433308935696	0.0012572301915550913	0.001635018967065065	0.002102469190460532	0.0035114670147985624	0.0019056672102041611	0.0013159362308736804	0.0011860998365983758
1:Ins:C:4	0.0009168872130051758	0.0008935039793193695	0.0016565158027405133	0.001570073311948521	0.002177973738080114	0.00256068917594731	0.004758332749117448	0.001296145854850641	0.000978639363872484	0.0017407622489667776	0.0016702856936353446	0.003585511705606173	0.0034953567597700336	0.0016660380887261793	0.0015029182507352318
1:Ins:C:5	0.005880796761192565	0.006204779634070103	0.009682022890309972	0.0100422951824727	0.01308656222679198	0.01351480857973067	0.014474909421467149	0.009171185866678677	0.008683059420795197	0.010274693470613721	0.012310845154112435	0.020153490934624135	0.021637963237366886	0.00912803679186479	0.010423230528034533
