De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, Cosine Similarity
Signature INDEL-A, Signature ID1 (75.46%) & Signature ID2 (24.54%), 0.39,  0.26, 0.97
Signature INDEL-B, Signature INDEL-B, 0, 0, 1
