Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
AC_WGS_52	1.90E+00	2.64E+00	2.22E+00	3.82E+00	6.78E-01	2.00E+00	3.53E+00	3.38E+00	4.70E+00
AC_WGS_53	5.84E-01	7.91E-01	7.47E-01	1.30E+00	2.14E-01	1.00E+00	4.39E-01	9.23E-01	9.65E-01
AC_WGS_11	1.63E+00	2.32E+00	1.98E+00	3.44E+00	5.85E-01	1.69E+00	2.81E+00	2.86E+00	2.48E+00
AC_WGS_37	6.29E-01	1.24E+00	3.99E-01	1.53E+00	1.16E-01	9.78E-01	5.25E-01	1.11E+00	6.37E-01
RC596TH1	9.02E-01	2.09E+00	6.67E-01	2.46E+00	6.63E-01	1.94E+00	2.70E+00	5.41E-01	1.09E+00
RC597TH1	8.16E-01	1.52E+00	5.56E-01	2.56E+00	1.56E-01	1.92E+00	2.90E-01	1.33E-01	2.80E-01
RC598TH1	4.75E-01	1.37E+00	3.43E-01	1.54E+00	2.64E-01	1.12E+00	4.97E-01	1.35E+00	1.10E+00
RC599TH1	1.70E+00	2.53E+00	3.68E+00	2.63E+00	4.73E-01	1.76E+00	2.00E+00	3.56E+00	4.30E+00
RC602TH1	1.26E+00	1.68E+00	1.90E+00	3.57E+00	3.45E-01	2.83E+00	6.82E-01	3.20E+00	8.72E-01
RC603TH1	3.84E+01	1.15E+01	2.88E+01	7.38E+01	5.77E+00	6.59E+01	1.01E+01	2.08E+01	2.34E+01
