MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	6.345653952964665e-08	8.9629536784615e-08	2.3570814538980417e-07	3.9944088038510775e-08	1.8878005330129278e-08	9.391001838809885e-08	1.6454333181360784e-07	6.110057146032226e-08	1.2062640809771987e-07
1:Del:C:1	0.003944731063661536	0.03476035378373217	0.00774412517372031	0.023821456789941763	0.020418034927580486	0.11036509022954942	0.02843371438838157	0.021534116941345657	0.030756552065212894
1:Del:C:2	0.0013327860867151475	0.0076169191163358825	0.0029989779558956837	0.006485667742634127	0.0064470592139150365	0.022471875038324863	0.01787260999929987	0.005474357080925527	0.009620275124813442
1:Del:C:3	0.0006419321706914732	0.0036518358712977817	0.0017158649790977366	0.0023052106725506487	0.002888318661650331	0.012793402384571344	0.006544675291156368	0.002582528084491853	0.004059336752618743
1:Del:C:4	0.0005025080065096863	0.002204989599438331	0.0008949987110491486	0.0017751152778319272	0.0017618928300308443	0.006676068779560335	0.005073788287545302	0.0018280082399424694	0.002895046515246092
1:Del:C:5	0.001256776746743764	0.0025714696717172966	0.001877009169388301	0.0021343868853549485	0.0019045664975887442	0.004026885480045864	0.0034658571887208616	0.001987948716739661	0.00281628702023816
1:Del:T:0	6.345653952964665e-08	8.9629536784615e-08	2.3570814538980417e-07	3.9944088038510775e-08	1.8878005330129278e-08	9.391001838809885e-08	1.6454333181360784e-07	6.110057146032226e-08	1.2062640809771987e-07
1:Del:T:1	0.004008562427234549	0.015525340650817732	0.0051442645248655555	0.01088961649698086	0.012801689521501515	0.09399455069814072	0.0314539589920821	0.011735206805408068	0.020738513050112848
1:Del:T:2	0.0017799653913483117	0.010494599885549984	0.0049994163312943015	0.007918921347155931	0.00772770806916007	0.03639959766918959	0.020168622896148573	0.007999597732871356	0.012507793918740585
1:Del:T:3	0.0014919794734059913	0.00922637984038655	0.00260302018343144	0.006958169757329202	0.007203537666075064	0.033710416760065365	0.014879802172338122	0.0068324651474870055	0.009981990663629784
1:Del:T:4	0.0016920419599121478	0.00665988771333836	0.0039809716825174365	0.004865697515160811	0.005644092592249544	0.02879077042766481	0.02122744047195394	0.005633839847054972	0.010345114005996515
1:Del:T:5	0.1536617422542177	0.189843233269224	0.318978849922628	0.12913967192256126	0.06401559706653034	0.1390631289442896	0.19380372972662524	0.1476398200977938	0.1871128999506442
1:Ins:C:0	0.00127031959777474	0.004060242215004547	0.0018971380965130066	0.0028439491109291783	0.003638171637520781	0.010737742050163831	0.00763002609433029	0.003419595897997277	0.004905735488077256
1:Ins:C:1	0.0003962118836387254	0.0027663028526136867	0.0008398824115603707	0.0024428198926177754	0.0024584828379674403	0.005180754623813094	0.0021770866097205683	0.0021760271064355176	0.0027260764772523904
1:Ins:C:2	0.0004084371924832032	0.0019222351542805846	0.0006713016786098672	0.0019156484325656047	0.0024477100320248533	0.0023650844251426255	0.003778276453860125	0.0017293290777271129	0.0024316027044080125
1:Ins:C:3	0.0003925244046130687	0.0010527016214897796	0.0006219840270932178	0.001093409433534582	0.002582900505586763	0.0012188807089678964	0.002963093045290332	0.0013154414132707016	0.0013129560788172952
1:Ins:C:4	0.0003617988904997259	0.0015555154449980822	0.0006488831039293081	0.0014083507608729606	0.0016142657697276915	0.004581563030241217	0.005146612941388391	0.0013020256751599467	0.0021916672154149107
1:Ins:C:5	0.0027920833062498956	0.0091847674613621	0.003983227258505048	0.010192169983407986	0.014129509244092798	0.019130437780598447	0.0245548802982221	0.009827414893762574	0.013442562801237595
1:Ins:T:0	0.003966991752579645	0.006418755040816793	0.0019466399084644293	0.007175840860400296	0.010129009631136473	0.015772907301929786	0.01123954480206424	0.006705952462966535	0.0074947182532892
1:Ins:T:1	0.002394875094109888	0.01003437310529957	0.0024786627476654512	0.009770950573928853	0.013175279459788032	0.02257286457799305	0.009742855926105042	0.008977613125687137	0.010427393115745061
1:Ins:T:2	0.0014980616283121035	0.005829371294242276	0.003586617122997148	0.004674275508754924	0.006267934966467515	0.008096705512697675	0.008457450307803946	0.005415798905054281	0.006650414184203417
1:Ins:T:3	0.001343843079633786	0.0038173045242320706	0.0027362519470085092	0.003162064348444138	0.004989499606230453	0.014299397470048469	0.012155903614101897	0.00382330227906057	0.005626225929694642
1:Ins:T:4	0.0012942850553754384	0.004701664680485546	0.0019572939981587385	0.004222089714306627	0.005137774161617248	0.013520019848136725	0.00836719195023118	0.003838369954325156	0.0054286799261619514
1:Ins:T:5	0.6267863200600127	0.4363864525296651	0.19257429625605338	0.594812528699308	0.6224119923669172	0.05627188247828244	0.05384614557798341	0.5234154301722396	0.31879378806097314
2:Del:R:0	0.12964377028855376	0.11047272159941522	0.3526496373962265	0.050868692357959634	0.04791404440244853	0.0782615004928528	0.22604790917248335	0.10272278300614861	0.1671418501486899
2:Del:R:1	0.00022762527179173676	0.0010934276511557525	0.0004786733934900212	0.000835232613289934	0.0012578012864424412	0.003001976768699956	0.0028461079939198705	0.0008580714073996083	0.0015991241713295963
2:Del:R:2	6.752582896099704e-05	0.00045209152122789885	0.0004548469939661891	0.00023046964021132432	0.00016398935842570466	0.0024039775867127373	0.0006604081001978929	0.0002844627375861285	0.0005559382322655381
2:Del:R:3	2.4765604476493685e-05	4.352808800109409e-05	0.0004955618717359361	1.4336214255543569e-05	4.456908784973895e-05	4.16555412269243e-05	0.0001745749290206048	5.08077595455879e-05	0.0001319454109473171
2:Del:R:4	1.585362771535868e-05	4.1083923670732456e-05	2.030534899121478e-05	2.7187106996132727e-05	5.920243834634477e-05	0.00012902882006046772	0.000140412347651716	3.926924323791074e-05	6.581508258211644e-05
2:Del:R:5	0.0006100943311646095	0.0005924592920911814	0.0002875473932517271	0.0005001741951203338	0.0006199524450748241	0.0005572442711302463	0.0009632955000380086	0.0005607835922476674	0.0007384912287115428
3:Del:R:0	0.004861950423062959	0.008740897684002007	0.010744900968755213	0.006456650834120187	0.005972894816645303	0.010909729510465448	0.019217176290686422	0.0073199475177432504	0.011667076356888533
3:Del:R:1	0.0002724197297722372	0.00101513968057413	0.0013149348252681334	0.0009602203981448458	0.0011607027921864191	0.0013279386024070217	0.0026573286334411754	0.0010701320715781277	0.0014348092896937505
3:Del:R:2	4.826065297032566e-05	0.00020711217959273518	8.770509072657903e-05	0.00021275260939678447	0.0002691553505374817	0.0005792186083766307	0.0005215755265423485	0.0002552170422279687	0.00027347392932994654
3:Del:R:3	6.345653952964665e-08	8.9629536784615e-08	2.3570814538980417e-07	3.9944088038510775e-08	1.8878005330129278e-08	9.391001838809885e-08	1.6454333181360784e-07	6.110057146032226e-08	1.2062640809771987e-07
3:Del:R:4	6.571753566778213e-06	4.0505820687494145e-05	2.0353992535628765e-05	4.77947297762118e-05	5.443848593183672e-05	7.269448777791292e-05	0.00015963312671592547	6.075566119253824e-05	5.8873074240492e-05
3:Del:R:5	6.345653952964665e-08	8.9629536784615e-08	2.3570814538980417e-07	3.9944088038510775e-08	1.8878005330129278e-08	9.391001838809885e-08	1.6454333181360784e-07	6.110057146032226e-08	1.2062640809771987e-07
4:Del:R:0	0.001614614896947694	0.003930053839737068	0.0038546510300491014	0.004082086760655533	0.00607208723241375	0.009450295777679888	0.01277300004141585	0.004041246634614783	0.006618158879401535
4:Del:R:1	5.7165211571396984e-05	0.0002421121371502641	0.00020386332042851145	0.0002536540608180549	0.00027475412849823873	0.0006454898873385893	0.000819062434028281	0.00024801823162432467	0.0003106419773706132
4:Del:R:2	3.089044281375255e-05	6.976325008964865e-05	3.0091630323898325e-05	0.00010027833077308923	0.00015436283599066285	8.305331712985264e-05	0.00015007472834062218	7.984028531976976e-05	9.162543243073563e-05
4:Del:R:3	6.345653952964665e-08	8.9629536784615e-08	2.3570814538980417e-07	3.9944088038510775e-08	1.8878005330129278e-08	9.391001838809885e-08	1.6454333181360784e-07	6.110057146032226e-08	1.2062640809771987e-07
