MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Ins:R:5	6.86E-06	7.54E-06	9.38E-06	1.28E-05	3.62E-06	6.38E-06	9.53E-06	8.07E-06	3.87E-06
2:Del:M:1	2.29E-04	2.50E-04	4.42E-04	5.06E-04	1.79E-04	2.69E-04	4.09E-04	3.00E-04	2.43E-04
3:Del:M:1	3.47E-04	4.32E-04	5.02E-04	6.59E-04	2.44E-04	3.99E-04	4.97E-04	4.33E-04	3.73E-04
3:Del:M:2	1.86E-04	2.08E-04	2.13E-04	3.40E-04	1.04E-04	1.55E-04	2.80E-04	1.79E-04	1.73E-04
4:Del:M:1	1.75E-04	1.88E-04	2.42E-04	2.92E-04	9.45E-05	1.55E-04	2.37E-04	1.76E-04	1.56E-04
4:Del:M:2	1.14E-04	1.47E-04	1.80E-04	2.13E-04	8.42E-05	1.25E-04	1.55E-04	1.20E-04	1.10E-04
4:Del:M:3	4.48E-05	5.85E-05	7.84E-05	7.81E-05	2.05E-05	3.85E-05	6.10E-05	4.60E-05	4.55E-05
5:Del:M:1	3.43E-04	3.99E-04	5.42E-04	5.46E-04	2.31E-04	3.59E-04	5.71E-04	3.45E-04	3.10E-04
5:Del:M:2	1.55E-04	1.81E-04	3.10E-04	3.33E-04	9.62E-05	1.82E-04	2.50E-04	1.87E-04	1.53E-04
5:Del:M:3	8.61E-05	8.68E-05	1.22E-04	1.30E-04	5.18E-05	7.69E-05	1.10E-04	7.49E-05	8.17E-05
5:Del:M:4	2.38E-05	2.36E-05	3.42E-05	5.25E-05	1.14E-05	2.99E-05	3.27E-05	2.14E-05	1.86E-05
5:Del:M:5	2.30E-05	2.55E-05	3.56E-05	4.30E-05	8.14E-06	2.26E-05	3.56E-05	2.72E-05	1.98E-05
