Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
AC_WGS_52	4.88E+00	5.22E+00	1.02E+00	1.59E+00	6.38E+00	3.93E+00	3.93E+00	5.83E+00	3.04E+00
AC_WGS_53	4.59E+00	2.57E+00	3.51E-01	1.09E+00	8.75E+00	4.37E+00	3.92E+00	4.97E+00	3.48E+00
AC_WGS_11	5.46E+00	5.09E+00	1.02E+00	1.33E+00	8.33E+00	4.66E+00	4.43E+00	5.87E+00	3.72E+00
AC_WGS_37	5.71E+00	3.51E+00	3.55E-01	1.03E+00	1.12E+01	5.41E+00	3.01E+00	7.01E+00	3.06E+00
RC596TH1	2.25E+00	2.62E+00	8.74E-01	1.72E+00	2.25E+00	1.83E+00	4.15E+00	2.15E+00	3.76E+00
RC597TH1	1.79E+00	3.23E+00	4.59E-01	1.38E+00	3.18E+00	1.04E+00	6.01E+00	2.59E+00	5.06E+00
RC598TH1	9.78E-01	1.40E+00	3.51E-01	7.91E-01	1.34E+00	8.30E-01	2.39E+00	1.20E+00	2.21E+00
RC599TH1	1.12E+00	1.67E+00	1.09E+00	1.68E+00	9.48E-01	1.10E+00	2.36E+00	1.36E+00	2.41E+00
RC602TH1	1.54E+00	2.65E+00	5.47E-01	1.29E+00	1.95E+00	1.24E+00	5.14E+00	2.16E+00	4.52E+00
RC603TH1	5.54E+00	6.29E+00	5.41E+00	4.31E+00	3.27E+00	5.35E+00	5.75E+00	5.53E+00	2.32E+00
