De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, Cosine Similarity
Signature 96-A, Signature SBS1 (0.60%) & Signature SBS5 (12.60%) & Signature SBS7a (60.22%) & Signature SBS7b (17.20%) & Signature SBS7d (9.38%), 0.20,  0.12, 0.99
Signature 96-B, Signature SBS7b (29.08%) & Signature SBS31 (35.44%) & Signature SBS32 (35.48%), 0.39,  0.30, 0.96
Signature 96-C, Signature SBS1 (16.50%) & Signature SBS5 (74.92%) & Signature SBS34 (8.58%), 0.41,  0.41, 0.92
Signature 96-D, Signature SBS1 (9.42%) & Signature SBS5 (23.14%) & Signature SBS38 (67.44%), 0.23,  0.11, 0.99
Signature 96-E, Signature SBS1 (2.86%) & Signature SBS2 (8.74%) & Signature SBS5 (14.36%) & Signature SBS17a (3.74%) & Signature SBS17b (6.72%) & Signature SBS40 (63.58%), 0.40,  0.39, 0.92
Signature 96-F, Signature SBS1 (5.26%) & Signature SBS2 (17.36%) & Signature SBS5 (35.44%) & Signature SBS13 (28.52%) & Signature SBS36 (13.42%), 0.31,  0.22, 0.98
Signature 96-G, Signature SBS1 (0.94%) & Signature SBS5 (24.12%) & Signature SBS9 (31.04%) & Signature SBS35 (43.90%), 0.48,  0.48, 0.88
Signature 96-H, Signature SBS1 (3.94%) & Signature SBS33 (77.24%) & Signature SBS54 (18.82%), 0.24,  0.11, 0.99
