Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	20.813	108.729	5.293	63.882	1.313
2	22.889	114.52	6.676	71.153	1.403
3	21.811	117.474	5.801	72.383	1.445
4	22.187	114.813	6.148	69.472	1.446
5	21.705	114.02	5.744	69.634	1.388
6	21.375	114.097	5.724	70.199	1.468
7	21.966	115.11	5.768	69.552	1.487
8	21.661	115.325	5.595	70.498	1.458
9	22.594	108.921	6.271	65.197	1.26
10	21.459	112.335	5.286	65.486	1.382
11	20.726	113.52	5.443	71.435	1.394
12	21.458	114.182	5.728	71.214	1.415
13	21.625	112.463	5.84	66.004	1.373
14	22.177	116.012	6.122	71.075	1.439
15	21.666	114.44	5.631	66.85	1.449
16	22.346	117.028	6.275	72.087	1.424
17	21.727	113.388	5.972	71.645	1.456
18	22.922	113.755	6.504	69.415	1.348
19	22.376	107.847	6.231	65.163	1.312
20	22.121	115.664	5.811	69.228	1.464
21	20.65	112.937	5.308	70.626	1.426
22	21.683	117.298	5.889	72.274	1.515
23	20.599	112.294	5.605	68.437	1.405
24	22.139	114.864	6.335	71.235	1.42
25	21.717	116.934	5.518	70.598	1.447
26	19.646	108.874	5.07	67.608	1.38
27	21.313	115.37	5.729	70.053	1.399
28	22.36	114.571	5.985	70.235	1.431
29	22.02	117.286	5.914	72.491	1.426
30	21.182	112.607	5.725	70.428	1.412
31	20.517	108.899	5.429	67.47	1.395
32	22.762	117.428	6.17	74.184	1.436
33	22.715	114.632	6.135	69.247	1.36
34	21.424	119.181	5.984	73.934	1.562
35	20.938	107.262	5.494	64.688	1.301
36	21.079	109.388	5.593	66.768	1.349
37	22.072	110.313	5.921	68.143	1.296
38	21.364	114.58	5.623	68.459	1.471
39	21.94	113.123	5.833	70.25	1.435
40	21.254	109.214	5.747	65.035	1.327
41	21.363	106.829	6.077	65.489	1.322
42	22.498	116.279	6.407	71.039	1.432
43	21.257	119.521	5.813	72.386	1.554
44	20.892	115.064	5.525	71.828	1.452
