MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
5:Ins:R:0	1.30E-04	1.23E-04	2.23E-04	2.26E-05	1.94E-04	3.66E-05
5:Ins:R:1	1.97E-04	1.95E-04	4.00E-04	2.89E-05	3.52E-04	4.80E-05
5:Ins:R:2	9.36E-06	7.75E-06	1.47E-05	6.55E-06	1.42E-05	1.28E-06
5:Ins:R:3	5.86E-06	7.87E-06	1.04E-05	4.09E-07	1.12E-05	4.84E-07
5:Ins:R:4	6.42E-06	5.77E-06	2.03E-05	2.29E-09	1.45E-05	3.47E-07
5:Ins:R:5	6.31E-06	7.23E-06	1.05E-05	5.92E-07	1.12E-05	1.01E-06
2:Del:M:1	2.20E-04	2.38E-04	3.43E-04	3.62E-05	3.23E-04	5.17E-05
3:Del:M:1	3.06E-04	3.28E-04	3.75E-04	1.57E-04	4.28E-04	8.20E-05
3:Del:M:2	1.62E-04	1.74E-04	1.76E-04	7.73E-05	2.13E-04	2.96E-05
4:Del:M:1	1.59E-04	1.65E-04	2.31E-04	4.77E-05	2.25E-04	2.74E-05
4:Del:M:2	1.02E-04	1.03E-04	1.56E-04	4.84E-05	1.50E-04	1.44E-05
4:Del:M:3	3.21E-05	3.65E-05	5.05E-05	1.30E-05	5.39E-05	8.09E-06
5:Del:M:1	3.06E-04	3.00E-04	4.56E-04	5.29E-05	4.67E-04	6.55E-05
5:Del:M:2	1.53E-04	1.78E-04	2.73E-04	1.69E-05	2.84E-04	4.33E-05
5:Del:M:3	7.29E-05	7.61E-05	1.11E-04	1.50E-05	1.22E-04	1.74E-05
5:Del:M:4	2.73E-05	2.33E-05	3.99E-05	1.69E-06	3.88E-05	4.97E-06
5:Del:M:5	2.35E-05	2.38E-05	3.31E-05	7.27E-06	3.91E-05	8.23E-06
