MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
1:Del:C:1	0.0005917796977905572	0.035745832409820544	0.0036884911670304167	0.023906085153267486	0.08341361215645106	0.058854097069105334
1:Del:C:2	0.00015545608103475437	0.007451915480118788	0.0007103964857107071	0.008090453262088267	0.023578197994043683	0.01637248091314558
1:Del:C:3	7.453386461577072e-05	0.003284180304056103	0.0008762742686578497	0.0028406320791407543	0.011627641242741378	0.007210015789310361
1:Del:C:4	3.462941594914846e-05	0.0021760621781189413	3.495111714695154e-05	0.002724482562000789	0.00680833787251536	0.0050128044492682615
1:Del:C:5	0.0011842067747639643	0.0022227484376603135	0.0011260916289428978	0.0019741674597187394	0.003947248314529992	0.003305426645930553
1:Del:T:0	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
1:Del:T:1	0.0006185250116436331	0.0146183881925493	0.0007700671914566923	0.013521673896384643	0.06959744984682838	0.04127933697016957
1:Del:T:2	0.0001626791567875135	0.010142923978763672	0.003009104830844311	0.009622965504291208	0.033408809727038864	0.021960403919481567
1:Del:T:3	0.00015087592083033418	0.008963576254789241	0.00013945657750671448	0.009145961253102868	0.029150285492954873	0.019944722029745555
1:Del:T:4	0.00018970932984585986	0.005518531268138755	0.0018763500709999801	0.00714801800030817	0.02894631576819046	0.017768889142236666
1:Del:T:5	0.16378402728816066	0.1583095441610312	0.32168127838971966	0.10002202611816528	0.12080350532100866	0.13433377358590984
1:Ins:C:0	0.0006909576568716096	0.004130529884769137	0.0006262495965598906	0.00347511448745254	0.011068390861155386	0.008062463775306214
1:Ins:C:1	7.001264381493332e-05	0.0030307726200413743	0.0006536261062294202	0.003192525568780054	0.004357588756075019	0.0037288976275993047
1:Ins:C:2	9.357955075423233e-05	0.0022261990296278283	2.4411715382301426e-05	0.0027923070447707487	0.0038456283868522653	0.0034286862897065923
1:Ins:C:3	7.782433987765122e-05	0.0013923498917839167	7.681805731773069e-05	0.0026516138296450178	0.00267123861723446	0.0031533036122780543
1:Ins:C:4	5.021312933060411e-05	0.0015254007381628335	5.146559017701243e-05	0.0021401013497849733	0.005805227906522005	0.004049021032430567
1:Ins:C:5	0.0006331489895802415	0.010028155098756777	0.0001624677555075394	0.017872071260997578	0.028105416177791453	0.023219537349987242
1:Ins:T:0	0.003408664029431238	0.00769065197372243	0.0001773228240657587	0.008481102082820496	0.015303393563423032	0.012328692877048714
1:Ins:T:1	0.0006483827723767091	0.012179861597958544	0.0005374114808606275	0.01318465165507966	0.020927782299977635	0.017700041495844136
1:Ins:T:2	0.0007420287422580996	0.006519097096961301	0.0022710789602765962	0.006485789832654886	0.01002398735906622	0.009241577026449694
1:Ins:T:3	0.0006250738071343037	0.003548643502349302	0.0011024610978499542	0.004881017641327361	0.015807913544296327	0.010649275296753273
1:Ins:T:4	0.0003580834687749481	0.004624137508649167	0.0006332987477002055	0.006438838863970272	0.012793201704020799	0.00935662064517516
1:Ins:T:5	0.6492780723307622	0.4886491948224561	0.273396898386731	0.5659220536664472	0.0389581922480324	0.23392185559966325
2:Del:R:0	0.13472133164631017	0.08541350991028177	0.3378100456364645	0.036434332687608664	0.11557696809442282	0.09416689708891689
2:Del:R:1	2.2699100816208254e-05	0.000974901416125624	0.00023312035717316023	0.0011079950346613021	0.0037208406322307274	0.002521389322325628
2:Del:R:2	4.070105697862053e-06	0.0004069061585304024	0.00042635481626788227	0.00025986225064006293	0.0014556053325923985	0.000987629740293545
2:Del:R:3	1.8859434049155084e-05	3.3831357515443027e-05	0.0004919969969243271	2.5043009729439077e-05	6.509042364739908e-05	5.9596334388033556e-05
2:Del:R:4	1.5235324210905087e-06	4.383577350693176e-05	6.684927898958808e-07	4.487800595558966e-05	0.00017633134136363205	0.00010809437576023304
2:Del:R:5	0.0006100329343160907	0.0004721610045278283	4.825056194688267e-05	0.0005747022942073248	0.0005525093894656478	0.0006329707731118266
3:Del:R:0	0.0042977313443897484	0.007805487721733284	0.009120056540176636	0.007623076953121766	0.012873021654359674	0.01221431840817671
3:Del:R:1	0.0001841492089184069	0.0010222603737132614	0.0009841123052837198	0.0017428438988757633	0.0020668619839695436	0.0022153308560601864
3:Del:R:2	1.2068129724860943e-05	0.0002718575828990253	4.4416249118229275e-06	0.00034568989036675335	0.0005882269054780147	0.0005378791947447642
3:Del:R:3	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
3:Del:R:4	1.0614785715432886e-06	5.863432606380502e-05	1.473511400626778e-06	5.976014473530566e-05	0.00012456540940938333	0.0001396076679277256
3:Del:R:5	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
4:Del:R:0	0.0004842340196214214	0.004556900416425479	0.002614971156574394	0.005674959165518301	0.013452498368759247	0.010783086112020456
4:Del:R:1	2.714182147131195e-06	0.000247258963349108	0.0001323130813636837	0.00031054424908228263	0.0008276768714474026	0.0006393748779972721
4:Del:R:2	3.979139794154564e-06	0.00010853599655615867	7.032063877003779e-07	0.00019156727104840333	0.00013893026341503528	0.000200873053373904
4:Del:R:3	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
4:Del:R:4	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
4:Del:R:5	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
5:Del:R:0	0.0004041965761280012	0.014319058171033254	0.0010099027654001537	0.015617142032380422	0.0415189219025913	0.030716979352151452
5:Del:R:1	7.366740036424272e-07	2.4841370411100397e-05	1.3237091861812122e-07	2.288757925834208e-05	0.00024035411306568084	0.0001225461764829516
5:Del:R:2	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
5:Del:R:3	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
5:Del:R:4	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
5:Del:R:5	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
2:Ins:R:0	0.0017965380261320378	0.004836105782438505	0.0011242594669449314	0.005687929833116731	0.018688923721036164	0.012438405541535196
2:Ins:R:1	7.351596413314117e-05	0.0026103083132415932	0.00037617575000440886	0.0028198415772260235	0.00888586884669683	0.006480269808334755
2:Ins:R:2	0.00020067774081878375	0.001258631846457618	0.0005304378733204184	0.002384134169460591	0.0029415723093605198	0.0025879135534169232
2:Ins:R:3	2.474983468763049e-05	0.0005119501572757274	6.192993165425056e-05	0.0005740646290775153	0.0018826758606976686	0.0012063515421453324
2:Ins:R:4	0.00021396481788674512	0.0010386363707917791	0.0006148424141174931	0.001073053958320117	0.0018328560740541984	0.0015626302666507993
2:Ins:R:5	0.020739480794929224	0.023827751032744843	0.00382969579654902	0.03801828755553695	0.0664175990042476	0.052199845438014945
3:Ins:R:0	0.00019753834850104031	0.0016153682889669767	0.00010976339155358442	0.0023080561125693624	0.002725825357948837	0.003110599730483245
3:Ins:R:1	6.036605099993104e-05	0.0027501197150098158	0.00031067480280583216	0.002919254093086113	0.004709631644748322	0.004105921887357902
3:Ins:R:2	1.186744902445444e-05	0.000364808026752127	5.171970250249849e-05	0.0003585643999505872	0.000748343477540915	0.0005750496907254537
3:Ins:R:3	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
3:Ins:R:4	1.7675205672537356e-07	7.14905871762261e-05	1.3403556866599086e-05	5.154822849809739e-05	3.622186735673326e-05	5.568497985282145e-05
3:Ins:R:5	5.2325204809750585e-05	0.0005982438463152359	0.00014266361985613976	0.00045328344525495673	0.0010459875141316393	0.0008451562345622581
4:Ins:R:0	4.694030606123701e-05	0.000981827384435523	7.55516346059031e-05	0.0015431499288528596	0.005264990863722845	0.0033110015223498063
4:Ins:R:1	0.00010773388320400764	0.002841290281025308	1.601128249565339e-05	0.004285885572008826	0.007449781089996515	0.0061022650448466255
4:Ins:R:2	4.9997664955585234e-06	0.00014830452205514503	1.2288676495577845e-05	0.00019544739819327738	0.0004292239980093382	0.0003192972256969311
4:Ins:R:3	6.579767480047393e-08	6.509918344280621e-08	2.2933971380454202e-07	2.652790607521796e-08	1.0562567927499106e-07	8.160247901289672e-08
4:Ins:R:4	2.8108728874144486e-06	0.0001121828897420955	2.8911930368376027e-05	0.00012230065986613834	0.0005552543838683806	0.00048786691283937234
4:Ins:R:5	5.929803816354193e-06	0.00035219902205765045	1.351532613702265e-05	0.0004163755877580085	0.0011486255284975466	0.0006740652139747691
5:Ins:R:0	9.468519613635308e-05	0.0022184487812266607	0.00033545663561181506	0.0024276459694865513	0.009099586067210966	0.005882693039748142
5:Ins:R:1	9.454581305175855e-05	0.0035854666212494306	0.00031261011591296017	0.003494812336749602	0.016693682169545036	0.010665354483384824
5:Ins:R:2	1.7588713400707374e-06	8.403635031306464e-05	0.0001236649609248506	7.449077588825451e-05	0.00012697658770582912	0.0001501845681798206
5:Ins:R:3	1.2896691161528728e-06	4.8643956009480443e-05	8.025459606756797e-07	7.262492254900488e-05	0.00012064056604621848	0.00014122544892949926
5:Ins:R:4	3.808400551125603e-07	5.517967966270408e-05	9.162762128266198e-08	3.373454705877571e-05	0.00042850384971568714	0.00023245969031345382
5:Ins:R:5	1.5488973827171887e-06	4.780970106161102e-05	7.425656573179404e-07	7.92220137841705e-05	0.0001279121447107882	0.00013097496793357426
2:Del:M:1	0.0006052869350061561	0.005472929918094455	0.0003592393411568063	0.00519534709830844	0.01638878124291176	0.012060382326087702
3:Del:M:1	0.007809658419641379	0.010582839495466213	0.017582994619605236	0.00989073375551666	0.008378355985265092	0.010102411635891033
3:Del:M:2	0.0008001098002224791	0.0032543293185762117	0.0038441051907728663	0.003860991576779226	0.002764615512180148	0.003970217372920506
4:Del:M:1	0.0004562049988348138	0.004510702531259258	0.0007049198603654954	0.0046822240131657155	0.004659813566399288	0.005407942767711524
4:Del:M:2	0.0016941748328230327	0.0019511091609736284	0.0016209422707830897	0.002525992447269097	0.004328049531742044	0.00344363188670881
4:Del:M:3	4.607242897494223e-05	0.000678627341889247	0.0002447099248376106	0.0007030034304747169	0.000861947478852725	0.0009428295967389131
5:Del:M:1	0.0002131465722110824	0.00884368504051824	0.0008032564419171603	0.010085717806019865	0.02438922281327694	0.018698154257330332
5:Del:M:2	0.00012184667747443685	0.002889258424114723	3.908122730894292e-05	0.004638268567458606	0.009115178552196106	0.00736604103642549
5:Del:M:3	9.823232836373447e-05	0.0013782780882330237	0.00010604931342787918	0.001672371108352793	0.002384159573971992	0.0025916892742892245
5:Del:M:4	1.2129566293723735e-05	0.00038667601385174757	4.947251962615378e-06	0.000390256855630973	0.0006277097794322324	0.0006557349384962453
5:Del:M:5	1.6605657557193043e-05	0.0003532382486713738	9.704406295811615e-05	0.00041210372456376764	0.00041234205612501604	0.0005661908076196664
