MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
5:Del:R:0	7.15E-04	1.02E-03	6.20E-04	6.00E-04	1.23E-03	1.14E-03	6.03E-04	1.06E-03	6.21E-04	6.65E-04	8.45E-04	6.51E-04	8.20E-04	4.85E-04
5:Del:R:1	3.09E-06	9.91E-06	6.20E-06	4.92E-06	9.40E-06	1.63E-05	5.68E-06	2.56E-05	6.04E-06	6.83E-06	1.36E-05	6.59E-06	6.51E-06	7.66E-06
5:Del:R:2	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
5:Del:R:3	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
5:Del:R:4	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
5:Del:R:5	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
2:Ins:R:0	2.82E-04	5.29E-04	2.91E-04	4.36E-04	5.87E-04	5.72E-04	2.46E-04	4.41E-04	2.36E-04	2.54E-04	4.07E-04	3.22E-04	3.74E-04	2.57E-04
2:Ins:R:1	1.41E-04	2.80E-04	1.49E-04	2.04E-04	3.00E-04	3.54E-04	1.59E-04	2.83E-04	1.33E-04	1.80E-04	2.40E-04	1.86E-04	1.93E-04	1.60E-04
2:Ins:R:2	1.50E-04	1.55E-04	1.35E-04	1.48E-04	1.68E-04	2.35E-04	1.06E-04	1.82E-04	9.45E-05	9.48E-05	1.53E-04	1.29E-04	1.71E-04	1.44E-04
2:Ins:R:3	4.62E-05	7.40E-05	3.92E-05	4.46E-05	7.66E-05	9.35E-05	4.36E-05	1.12E-04	4.47E-05	4.20E-05	7.44E-05	5.58E-05	4.95E-05	5.31E-05
2:Ins:R:4	6.63E-05	1.27E-04	7.26E-05	9.79E-05	1.49E-04	1.85E-04	8.36E-05	1.16E-04	6.98E-05	5.24E-05	1.19E-04	7.59E-05	1.07E-04	6.98E-05
2:Ins:R:5	1.37E-03	2.09E-03	1.09E-03	1.48E-03	2.17E-03	2.11E-03	9.67E-04	1.79E-03	9.27E-04	1.06E-03	1.53E-03	1.50E-03	1.48E-03	1.19E-03
3:Ins:R:0	1.29E-04	2.03E-04	1.21E-04	1.37E-04	1.80E-04	1.86E-04	1.11E-04	1.26E-04	7.74E-05	1.09E-04	1.28E-04	1.26E-04	1.26E-04	9.31E-05
3:Ins:R:1	1.66E-04	2.26E-04	1.39E-04	1.32E-04	2.50E-04	2.42E-04	1.17E-04	1.99E-04	1.36E-04	1.15E-04	1.75E-04	1.55E-04	1.71E-04	1.38E-04
3:Ins:R:2	2.89E-05	4.76E-05	2.90E-05	2.62E-05	6.32E-05	4.37E-05	2.93E-05	5.91E-05	2.88E-05	2.27E-05	2.79E-05	3.28E-05	2.64E-05	2.83E-05
3:Ins:R:3	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
