MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
1:Del:C:1	4.64618798362329e-05	0.006767975448439286	0.05215153771752625	0.10749500648952387
1:Del:C:2	8.324719222298127e-06	0.0015928262354169477	0.01427416573424769	0.02558799311382676
1:Del:C:3	2.2019862544078236e-09	0.0012541793372994976	0.005617989171778215	0.012475657292550495
1:Del:C:4	1.5334332843887686e-08	0.00011996891962929223	0.004559261128753879	0.007634146754007678
1:Del:C:5	0.001175539876460208	0.0012977963094476395	0.0024612027081503153	0.004685462614437482
1:Del:T:0	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
1:Del:T:1	0.00039108625702894827	0.001646687923386297	0.02834325955613197	0.06712122466198386
1:Del:T:2	3.1231346685236094e-05	0.004475184272998381	0.017865360442200273	0.0359361031641408
1:Del:T:3	2.229485097474679e-05	0.00034217654888352297	0.017569911010031386	0.03282322254110255
1:Del:T:4	5.0172659131369385e-05	0.0030432923834349114	0.013153753194946044	0.02591900432771264
1:Del:T:5	0.16878745670469447	0.32393513545896724	0.08060031563076024	0.09195695382421663
1:Ins:C:0	0.0006348390209461287	0.0007253139121117687	0.0063585180752947675	0.012657070130409863
1:Ins:C:1	4.8126703802921e-05	0.0010037193995603429	0.004822882776749807	0.006559967716751526
1:Ins:C:2	3.3225173539831954e-05	2.0597123032345684e-05	0.00422783761114416	0.005502329576734148
1:Ins:C:3	2.1538319770362132e-05	0.0001503726136335835	0.0031385150250847894	0.004023162045405345
1:Ins:C:4	1.90834309322225e-06	0.00018906619970945795	0.0035485641647912325	0.006025405439879285
1:Ins:C:5	0.000530301350268897	0.00019998418696980544	0.02412794217354242	0.030987036124677195
1:Ins:T:0	0.0032813643424569293	0.00011990788213614376	0.011376996605405	0.018702512210341807
1:Ins:T:1	0.0005539913755370387	0.0007933695714462519	0.018880650397979384	0.03118929509814571
1:Ins:T:2	0.0007381942213923082	0.0024273672949980288	0.00894816652264079	0.014478149728419803
1:Ins:T:3	0.0005025106585395096	0.0012398981710451539	0.008041194563756578	0.015225154897249564
1:Ins:T:4	0.00041224227963963035	0.0008233018978934856	0.009095923916158823	0.013868431267625604
1:Ins:T:5	0.6457564931936631	0.27108762972832684	0.43188482590776495	0.06215149384191441
2:Del:R:0	0.13657636891081812	0.3195249230363329	0.024690530861946718	0.051464232594555556
2:Del:R:1	3.448748380314667e-07	0.00037611274624429727	0.0018470626433088216	0.0038430933067563604
2:Del:R:2	6.654646769927778e-08	0.0005204240763712532	0.0006070779361091509	0.0013557869545100275
2:Del:R:3	2.221216660584392e-05	0.0004566096701969679	1.614840129176077e-05	2.1418216656497953e-05
2:Del:R:4	4.161081697845188e-08	1.1145646494902177e-05	8.153232107745986e-05	0.0001824133870728053
2:Del:R:5	0.0005983503801572486	1.8422143914156987e-05	0.0005231276811137687	0.00043839867576267856
3:Del:R:0	0.004454621313473595	0.00992887732456916	0.007910013951215078	0.012386747437725646
3:Del:R:1	0.00019671709577313585	0.0010902983244872736	0.0019832933030200996	0.00232873933884854
3:Del:R:2	3.833114625167139e-06	2.4442687730373925e-05	0.0004913606775960972	0.0007333677584454573
3:Del:R:3	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
3:Del:R:4	4.3000222911861784e-08	2.556257021914178e-06	0.0001078419682322208	0.00016489852137967808
3:Del:R:5	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
4:Del:R:0	0.0004844398023683838	0.002918978694323577	0.007753436837706088	0.014232401209886445
4:Del:R:1	1.2590025373875381e-07	0.00019253359353048073	0.0005184706815127414	0.0007690290667757054
4:Del:R:2	5.875273669625719e-06	4.961190653647346e-06	0.00021309767850280454	0.00024186394464717029
4:Del:R:3	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
4:Del:R:4	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
4:Del:R:5	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
5:Del:R:0	0.00010053046164644414	0.002136659915436783	0.026976924785946876	0.047170644360583755
5:Del:R:1	3.536954642691296e-08	1.189073797226598e-07	7.065814492910562e-05	0.0002065956918112724
5:Del:R:2	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
5:Del:R:3	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
5:Del:R:4	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
5:Del:R:5	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
2:Ins:R:0	0.0016947312535499526	0.0012908572191669698	0.009572515545101386	0.0175740698624332
